cuma,pcymrc,ara,pbad
0.09765625,0.002944586443094546,1.239776611328125e-05,0.012239155525973162
0.1953125,0.0011293144431902507,4.9591064453125e-05,0.014935265487186567
0.390625,0.0020026586944200337,0.0001983642578125,0.009800663655846541
0.78125,0.0019814168389844017,0.00079345703125,0.00939403395662677
1.5625,0.0022673028615929616,0.003173828125,0.00963797695196764
3.125,0.0016161265075134226,0.0126953125,0.010851193066016541
6.25,0.002011742577443485,0.05078125,0.015832900626039897
12.5,0.010758918022967733,0.203125,0.07856626270398119
25.0,0.0956057283892663,0.8125,1.2973122716041054
50.0,0.4063019120964185,3.25,4.99485919424672
100.0,0.7285336617135452,13.0,7.600299926665821
200.0,1.25444522072481,52.0,8.096154115223474
