group,1,2,3,4,5,6,7,8,9,10,11,12
A,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ,PBAD-rJ
B,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ,PCin-rJ
C,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ,CymRC-PCymRC-rJ
D,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ,PLuxB-rJ
E,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ,PPhlF-rJ
F,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ,PSalTTC-rJ
G,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ,RhaS-PRhaB-rJ
H,BK,BK,NK,NK,,,BC,BC,NC,NC,GFP,GFP
