Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
H01,Sample X78,A,1.164,1.16,132533,136765,68530,70677,33203,34234
H02,Sample X79,A,1.437,1.427,252863,260000,131084,137664,63270,66608
H03,Sample X80,A,1.287,1.328,31099,32002,16089,16470,7785,7995
H04,Sample X81,A,1.32,1.332,4598,4735,2386,2444,1145,1180
H05,Sample X82,A,1.389,1.416,13888,14215,7157,7354,3439,3529
H06,Sample X83,A,1.237,1.256,125390,128778,64934,66804,31308,32279
H07,Sample X84,A,1.217,1.253,91400,93262,47024,48284,22632,23380
H08,Sample X85,A,1.314,1.308,5028,5189,2578,2665,1253,1294
H09,Sample X86,A,1.214,1.256,147456,151503,76556,78573,36944,38075
H10,Sample X87,A,1.231,1.284,159344,163540,82386,84762,39662,41003
H11,Sample X88,A,1.218,1.274,122941,126160,63572,65136,30500,31668
H12,Positive control P,B,1.707,1.71,260000,260000,154879,159552,75305,77699
