Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
,Time,,0,272,0,272,0,272,0,272
A01,Sample X1,A,1.554,1.563,3697,3737,1928,1943,945,947
A02,Sample X2,A,1.653,1.721,6728,6823,3484,3529,1689,1716
A03,Sample X3,A,1.648,1.699,9151,9318,4716,4813,2293,2335
A04,Sample X4,A,1.619,1.677,8986,9172,4660,4735,2258,2311
A05,Sample X5,A,1.677,1.756,10230,10394,5263,5366,2557,2612
A06,Sample X6,A,1.686,1.755,10498,10740,5449,5541,2643,2686
A07,Sample X7,A,1.674,1.76,10549,10736,5418,5539,2614,2673
A08,Sample X8,A,1.565,1.617,9848,10008,5112,5191,2482,2517
A09,Sample X9,A,1.674,1.744,16229,16536,8381,8559,4031,4142
A10,Sample X10,A,1.56,1.602,45940,47851,23863,24630,11477,11910
A11,Sample X11,A,1.678,1.731,19432,20045,10102,10306,4867,4992
A12,Blank B,A,0.05,0.048,1820,1833,952,950,471,470
B01,Sample X12,A,1.541,1.588,4124,4171,2122,2150,1029,1043
B02,Sample X13,A,1.622,1.613,21324,22068,10990,11358,5342,5496
B03,Sample X14,A,1.712,1.708,9990,10269,5175,5314,2520,2571
B04,Sample X15,A,1.613,1.609,9463,9706,4898,5019,2388,2424
B05,Sample X16,A,1.776,1.778,22966,23600,11955,12194,5756,5934
B06,Sample X17,A,1.754,1.75,38666,40088,19981,20650,9659,9989
B07,Sample X18,A,1.683,1.688,41831,43252,21494,22371,10381,10826
B08,Sample X19,A,1.5,1.507,10589,10867,5506,5609,2649,2719
B09,Sample X20,A,1.705,1.705,34411,35526,17745,18376,8613,8888
B10,Sample X21,A,1.699,1.709,41649,42954,21422,22212,10344,10760
B11,Sample X22,A,1.699,1.707,46388,48144,23880,24853,11447,11985
B12,Negative control N,A,1.875,1.897,4259,4286,2223,2230,1071,1079
C01,Sample X23,A,1.552,1.56,3834,3856,1970,1993,956,966
C02,Sample X24,A,1.769,1.747,11319,11567,5828,5987,2835,2882
C03,Sample X25,A,1.56,1.527,10594,10802,5465,5590,2653,2701
C04,Sample X26,A,1.719,1.668,8755,8962,4531,4630,2209,2243
C05,Sample X27,A,1.835,1.761,10158,10367,5271,5355,2561,2597
C06,Sample X28,A,1.837,1.728,10616,10860,5482,5599,2660,2714
C07,Sample X29,A,1.808,1.724,10655,10892,5488,5655,2685,2722
C08,Sample X30,A,1.691,1.605,9901,10064,5142,5249,2493,2532
C09,Sample X31,A,1.842,1.753,14617,14794,7532,7695,3672,3715
C10,Sample X32,A,1.841,1.78,15098,15476,7826,7989,3820,3852
C11,Sample X33,A,1.724,1.733,20352,20681,10535,10733,5109,5174
C12,Negative control N,A,1.652,1.673,3791,3784,1954,1978,958,965
D01,Sample X34,A,1.621,1.608,4258,4278,2205,2234,1078,1078
D02,Sample X35,A,1.731,1.665,29822,31034,15394,15984,7456,7693
D03,Sample X36,A,1.805,1.782,22978,23819,11845,12274,5777,5898
D04,Sample X37,A,1.665,1.657,9655,9932,5001,5143,2449,2485
D05,Sample X38,A,1.648,1.596,39379,40497,20473,20900,9930,10104
D06,Sample X39,A,1.843,1.85,11866,12219,6171,6283,2964,3040
D07,Sample X40,A,1.778,1.776,20784,21249,10761,10986,5221,5293
D08,Sample X41,A,1.316,1.284,12876,13255,6719,6850,3270,3287
D09,Sample X42,A,1.562,1.498,46270,47471,23878,24532,11612,11835
D10,Sample X43,A,1.66,1.632,50321,51301,26066,26560,12607,12871
D11,Sample X44,A,1.28,1.314,68956,70510,35638,36604,17187,17674
D12,Blank B,B,0.05,0.046,1845,1851,947,959,466,472
E01,Sample X45,A,1.419,1.428,3569,3582,1852,1867,892,909
E02,Sample X46,A,1.559,1.54,8561,8737,4405,4545,2150,2194
E03,Sample X47,A,1.722,1.709,8470,8642,4370,4486,2126,2161
E04,Sample X48,A,1.703,1.691,8625,8794,4463,4564,2163,2206
E05,Sample X49,A,1.838,1.828,9648,9892,4996,5128,2430,2478
E06,Sample X50,A,1.813,1.785,9762,9991,5006,5170,2446,2486
E07,Sample X51,A,1.784,1.793,9948,10196,5146,5301,2497,2549
E08,Sample X52,A,1.693,1.686,8667,8895,4465,4566,2179,2216
E09,Sample X53,A,1.794,1.782,10429,10650,5398,5490,2621,2674
E10,Sample X54,A,1.821,1.781,10689,10925,5548,5627,2673,2721
E11,Sample X55,A,1.562,1.586,28082,28476,14454,14765,7017,7137
E12,Negative control N,B,1.79,1.829,4005,4076,2089,2089,1022,1019
F01,Sample X56,A,1.446,1.433,4683,4729,2414,2434,1167,1182
F02,Sample X57,A,1.508,1.493,31003,32103,15978,16540,7716,8009
F03,Sample X58,A,1.694,1.671,9309,9539,4821,4922,2332,2374
F04,Sample X59,A,1.568,1.532,10114,10312,5247,5334,2520,2573
F05,Sample X60,A,1.794,1.749,14292,14480,7360,7493,3558,3628
F06,Sample X61,A,1.774,1.772,14776,15064,7669,7793,3716,3749
F07,Sample X62,A,1.763,1.755,11900,12122,6142,6261,2974,3027
F08,Sample X63,A,1.518,1.491,10052,10286,5212,5318,2520,2574
F09,Sample X64,A,1.822,1.794,9628,9813,4986,5085,2404,2458
F10,Sample X65,A,1.726,1.702,19763,20069,10239,10403,4932,5016
F11,Sample X66,A,1.234,1.254,59618,60736,30920,31358,14971,15226
F12,Negative control N,B,1.806,1.814,4004,4045,2080,2105,1011,1017
G01,Sample X67,A,1.328,1.312,5255,5391,2717,2779,1321,1341
G02,Sample X68,A,1.575,1.566,39160,40642,20115,20957,9682,10083
G03,Sample X69,A,1.145,1.183,10596,10673,5477,5557,2645,2684
G04,Sample X70,A,1.738,1.773,9090,9301,4683,4800,2272,2325
G05,Sample X71,A,1.845,1.848,10108,10217,5209,5304,2514,2572
G06,Sample X72,A,1.842,1.854,10335,10521,5334,5435,2587,2631
G07,Sample X73,A,1.797,1.817,10275,10489,5314,5436,2577,2623
G08,Sample X74,A,1.746,1.751,9400,9526,4853,4948,2355,2394
G09,Sample X75,A,1.806,1.796,10948,11092,5655,5764,2735,2772
G10,Sample X76,A,1.722,1.687,19257,19507,9997,10130,4830,4887
G11,Sample X77,A,1.728,1.784,10811,11030,5581,5715,2693,2754
G12,Positive control P,B,1.643,1.637,260000,260000,160635,163543,77967,79597
H01,Sample X78,A,1.181,1.107,170123,172969,88436,89637,42831,43543
H02,Sample X79,A,1.53,1.54,260000,260000,202045,209589,98289,102385
H03,Sample X80,A,1.563,1.646,10387,10541,5338,5464,2590,2622
H04,Sample X81,A,1.036,1.106,11456,11539,5923,5992,2862,2890
H05,Sample X82,A,1.686,1.85,10640,10829,5502,5572,2657,2710
H06,Sample X83,A,1.674,1.782,10361,10490,5333,5443,2584,2626
H07,Sample X84,A,1.424,1.496,25319,25620,13048,13282,6323,6429
H08,Sample X85,A,1.089,1.162,10640,10743,5478,5558,2654,2684
H09,Sample X86,A,1.236,1.318,30906,31381,16004,16216,7682,7845
H10,Sample X87,A,1.611,1.701,13541,13725,7007,7144,3393,3442
H11,Sample X88,A,1.377,1.443,28537,28850,14700,14947,7094,7194
H12,Positive control P,B,1.711,1.694,260000,260000,168867,171712,81929,83179
