group,1,2,3,4,5,6,7,8,9,10,11,12
A,A190,A191,A195,A205,A187,A189,A190,A191,A195,A205,A187,A189
B,A226,A225,A233,A231,A221,A232,A226,A225,A233,A231,A221,A232
C,A236,A239,A247,A259,A245,A235,A236,A239,A247,A259,A245,A235
D,A261,A267,A286,A269,A264,A274,A261,A267,A286,A269,A264,A274
E,A298,A309,A299,A294,A287,A304,A298,A309,A299,A294,A287,A304
F,A323,A335,A320,A313,A321,A325,A323,A335,A320,A313,A321,A325
G,,,,,,,,,,,,
H,,,BK,BK,3K3-N,3K3-N,BA,BA,4A3-N,4A3-N,4A3-P,4A3-P
