time,e32x32NrdJ1_0,e32x33NrdJ1_0,e32x30SspGyrB_0,e32x32NrdA2_0,e32x32gp411_0,e32x32gp418_0,e32x32NrdJ1_1,e32x33NrdJ1_1,e32x30SspGyrB_1,e32x32NrdA2_1,e32x32gp411_1,e32x32gp418_1,e33x32STPhoRadA_0,e33x30STPhoRadA_0,e33x30MjaKlbA_0,e33x32NrdA2_0,e33x30SspGyrB_0,e33x33NrdA2_0,e33x32STPhoRadA_1,e33x30STPhoRadA_1,e33x30MjaKlbA_1,e33x32NrdA2_1,e33x30SspGyrB_1,e33x33NrdA2_1,e34x30STNpuSspS2_0,e34x32gp411_0,e34x30SspGyrB_0,e34x30MjaKlbA_0,e34x32STIMPDH1_0,e34x32M86_0,e34x30STNpuSspS2_1,e34x32gp411_1,e34x30SspGyrB_1,e34x30MjaKlbA_1,e34x32STIMPDH1_1,e34x32M86_1,e38x32M86_0,e38x32gp418_0,e38x33MjaKlbA_0,e38x33NrdJ1_0,e38x30NpuSspS1_0,e38x30TerThyXS2_0,e38x32M86_1,e38x32gp418_1,e38x33MjaKlbA_1,e38x33NrdJ1_1,e38x30NpuSspS1_1,e38x30TerThyXS2_1,e41x30STsSspDnaX_0,e41x32NrdA2_0,e41x30SspGyrB_0,e41x32NrdJ1_0,e41x32M86_0,e41x32STPhoRadA_0,e41x30STsSspDnaX_1,e41x32NrdA2_1,e41x30SspGyrB_1,e41x32NrdJ1_1,e41x32M86_1,e41x32STPhoRadA_1,e42x32STIMPDH1_0,e42x32NrdA2_0,e42x32NrdJ1_0,e42x32M86_0,e42x33NrdJ1_0,e42x30SspGyrB_0,e42x32STIMPDH1_1,e42x32NrdA2_1,e42x32NrdJ1_1,e42x32M86_1,e42x33NrdJ1_1,e42x30SspGyrB_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,41.5,49.5,39.5,46.5,44.5,42.5,34.5,26.5,36.5,37.5,37.5,35.5,44.5,40.5,34.5,38.5,47.5,37.5,31.5,34.5,42.5,41.5,48.5,36.5,37.5,34.5,33.5,38.5,34.5,29.5,21.5,19.5,18.5,21.5,32.5,32.5,30.5,35.5,23.5,32.5,26.5,38.5,24.5,25.5,22.5,21.5,21.5,22.5,32.5,26.5,27.5,23.5,27.5,30.5,28.5,25.5,13.5,22.5,17.5,29.5,22.5,23.5,22.5,21.5,22.5,26.5,13.5,18.5,20.5,21.5,20.5,11.5,,,11.5,18.5,,,22.5,28.5,455.5,472.5
20,25.0,19.0,18.0,18.0,22.0,28.0,19.0,13.0,14.0,10.0,17.0,12.0,32.0,32.0,26.0,28.0,30.0,24.0,25.0,26.0,29.0,19.0,20.0,19.0,26.0,23.0,20.0,25.0,23.0,24.0,25.0,17.0,17.0,18.0,16.0,22.0,31.0,31.0,22.0,27.0,27.0,17.0,28.0,17.0,22.0,21.0,25.0,21.0,23.0,25.0,20.0,21.0,21.0,26.0,25.0,21.0,13.0,17.0,17.0,8.0,20.0,25.0,30.0,25.0,15.0,29.0,17.0,11.0,17.0,15.0,14.0,16.0,,,8.0,11.0,,,26.5,24.5,284.5,321.5
40,24.5,25.5,28.5,33.5,18.5,20.5,19.5,19.5,20.5,21.5,20.5,18.5,35.5,33.5,30.5,29.5,29.5,25.5,24.5,25.5,28.5,25.5,26.5,26.5,33.5,28.5,22.5,27.5,26.5,26.5,21.5,21.5,20.5,24.5,19.5,24.5,40.5,36.5,28.5,31.5,28.5,24.5,22.5,26.5,22.5,23.5,25.5,28.5,28.5,29.5,28.5,25.5,31.5,22.5,27.5,21.5,17.5,21.5,16.5,14.5,27.5,26.5,27.5,16.5,16.5,24.5,22.5,16.5,24.5,19.5,20.5,16.5,,,14.5,16.5,,,19.5,18.5,370.5,429.5
60,27.0,22.0,17.0,22.0,18.0,17.0,11.0,12.0,10.0,15.0,18.0,15.0,31.0,25.0,28.0,19.0,24.0,22.0,24.0,20.0,22.0,23.0,19.0,14.0,27.0,17.0,21.0,20.0,21.0,19.0,13.0,16.0,15.0,18.0,13.0,19.0,30.0,28.0,22.0,19.0,27.0,20.0,25.0,20.0,19.0,20.0,19.0,21.0,21.0,23.0,20.0,24.0,16.0,17.0,21.0,12.0,12.0,12.0,13.0,8.0,25.0,25.0,21.0,19.0,13.0,14.0,14.0,10.0,12.0,17.0,10.0,10.0,,,7.0,6.0,,,23.5,25.5,496.5,579.5
80,18.5,19.5,17.5,17.5,16.5,12.5,14.5,11.5,17.5,15.5,14.5,18.5,31.5,27.5,21.5,17.5,29.5,23.5,17.5,25.5,19.5,23.5,26.5,15.5,27.5,25.5,23.5,18.5,26.5,19.5,10.5,17.5,16.5,13.5,9.5,22.5,31.5,27.5,21.5,19.5,20.5,13.5,16.5,18.5,17.5,17.5,19.5,24.5,25.5,20.5,23.5,18.5,20.5,22.5,14.5,13.5,18.5,11.5,13.5,10.5,28.5,29.5,24.5,18.5,18.5,25.5,16.5,12.5,13.5,15.5,13.5,11.5,,,13.5,10.5,,,13.5,23.5,621.5,722.5
100,27.5,28.5,24.5,25.5,16.5,22.5,27.5,14.5,21.5,13.5,17.5,18.5,39.5,45.5,37.5,24.5,33.5,25.5,22.5,25.5,24.5,28.5,31.5,28.5,34.5,34.5,28.5,31.5,23.5,28.5,18.5,18.5,20.5,22.5,16.5,27.5,35.5,35.5,22.5,24.5,25.5,19.5,28.5,17.5,21.5,20.5,25.5,25.5,26.5,28.5,27.5,26.5,27.5,25.5,23.5,23.5,13.5,22.5,19.5,13.5,34.5,24.5,24.5,18.5,16.5,21.5,12.5,20.5,16.5,17.5,12.5,15.5,,,11.5,18.5,,,32.0,35.0,748.0,881.0
120,29.5,29.5,28.5,21.5,22.5,30.5,15.5,16.5,23.5,16.5,20.5,22.5,38.5,34.5,29.5,30.5,28.5,29.5,27.5,22.5,30.5,24.5,30.5,21.5,31.5,34.5,29.5,35.5,28.5,30.5,26.5,19.5,22.5,29.5,21.5,26.5,40.5,38.5,21.5,25.5,25.5,21.5,28.5,15.5,23.5,19.5,25.5,26.5,31.5,31.5,30.5,28.5,28.5,28.5,25.5,16.5,12.5,28.5,13.5,16.5,35.5,29.5,27.5,26.5,19.5,32.5,18.5,24.5,16.5,24.5,11.5,17.5,,,16.5,14.5,,,24.0,31.0,865.0,1033.0
140,32.0,41.0,32.0,39.0,33.0,42.0,37.0,31.0,31.0,35.0,32.0,27.0,50.0,45.0,38.0,36.0,39.0,41.0,37.0,34.0,35.0,33.0,35.0,31.0,41.0,40.0,40.0,41.0,38.0,34.0,29.0,29.0,35.0,33.0,31.0,38.0,52.0,40.0,35.0,25.0,26.0,35.0,31.0,28.0,21.0,30.0,30.0,39.0,35.0,37.0,41.0,34.0,36.0,29.0,29.0,33.0,26.0,26.0,23.0,22.0,44.0,35.0,33.0,25.0,25.0,35.0,23.0,21.0,19.0,24.0,20.0,27.0,,,16.0,24.0,,,41.5,44.5,1102.5,1280.5
160,49.5,47.5,51.5,52.5,51.5,48.5,60.5,49.5,87.5,50.5,78.5,49.5,63.5,50.5,51.5,38.5,44.5,45.5,42.5,45.5,38.5,43.5,46.5,43.5,54.5,56.5,51.5,49.5,50.5,45.5,51.5,41.5,53.5,50.5,48.5,51.5,55.5,52.5,37.5,36.5,36.5,39.5,45.5,39.5,30.5,40.5,33.5,46.5,43.5,45.5,44.5,39.5,36.5,39.5,40.5,37.5,33.5,40.5,32.5,34.5,43.5,42.5,43.5,32.5,31.5,41.5,26.5,25.5,29.5,30.5,30.5,33.5,,,31.5,28.5,,,56.0,60.0,1372.0,1604.0
180,60.0,66.0,57.0,68.0,68.0,64.0,515.0,351.0,643.0,127.0,651.0,80.0,73.0,63.0,59.0,53.0,56.0,58.0,58.0,55.0,59.0,54.0,54.0,56.0,66.0,66.0,64.0,63.0,60.0,54.0,79.0,90.0,111.0,102.0,133.0,84.0,61.0,69.0,44.0,50.0,46.0,53.0,53.0,56.0,48.0,73.0,48.0,74.0,56.0,57.0,64.0,53.0,49.0,49.0,140.0,55.0,76.0,122.0,50.0,50.0,55.0,48.0,54.0,45.0,42.0,55.0,47.0,33.0,48.0,45.0,39.0,41.0,,,39.0,38.0,,,75.0,83.0,1815.0,2141.0
