Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.042,0.977,3912,3857,2042,1998,996,971
A02,Sample X2,A,1.014,0.981,4063,4012,2117,2110,1041,1024
A03,Sample X3,A,1.027,0.992,4143,4120,2175,2134,1057,1045
A04,Sample X4,A,0.985,0.969,4192,4133,2177,2141,1065,1054
A05,Sample X5,A,1.005,0.956,4183,4161,2202,2153,1068,1047
A06,Sample X6,A,0.996,0.934,4186,4139,2191,2161,1071,1055
A07,Sample X7,A,1.017,0.966,3966,3923,2059,2029,1000,983
A08,Sample X8,A,0.957,0.909,6710,6663,3478,3448,1691,1670
A09,Sample X9,A,0.953,0.906,7707,7664,4037,3974,1961,1932
A10,Sample X10,A,0.939,0.891,8083,7983,4185,4161,2050,2003
A11,Sample X11,A,0.988,0.972,8551,8432,4450,4379,2150,2123
A12,Sample X12,A,0.928,0.877,8463,8329,4401,4325,2151,2103
B01,Sample X13,A,1.174,1.118,4661,4609,2409,2398,1181,1162
B02,Sample X14,A,1.063,1.073,24679,24344,12803,12655,6224,6107
B03,Sample X15,A,1.142,1.146,27447,27267,14304,14204,6943,6845
B04,Sample X16,A,1.114,1.13,33341,33063,17272,17172,8376,8277
B05,Sample X17,A,1.107,1.127,35717,35217,18545,18276,8937,8822
B06,Sample X18,A,1.088,1.108,36249,35642,18762,18543,9023,8938
B07,Sample X19,A,1.215,1.217,4757,4727,2474,2456,1204,1197
B08,Sample X20,A,1.026,1.02,17675,17558,9148,9136,4426,4385
B09,Sample X21,A,1.146,1.158,28403,28219,14750,14587,7106,7108
B10,Sample X22,A,1.159,1.166,33301,32869,17232,17108,8304,8249
B11,Sample X23,A,1.148,1.146,33416,33040,17379,17222,8376,8308
B12,Sample X24,A,1.112,1.057,32401,31601,16885,16431,8199,7976
C01,Sample X25,A,1.224,1.133,4767,4762,2478,2452,1213,1190
C02,Sample X26,A,1.184,1.198,64080,64010,33390,33126,16149,16038
C03,Sample X27,A,1.15,1.181,93440,92870,48754,48097,23675,23309
C04,Sample X28,A,1.177,1.152,105402,105448,54996,54816,26665,26398
C05,Sample X29,A,1.151,1.153,113583,112151,59083,58602,28744,28391
C06,Sample X30,A,1.134,1.157,114283,112957,59350,59259,28956,28743
C07,Sample X31,A,1.276,1.272,5437,5388,2797,2806,1369,1370
C08,Sample X32,A,1.223,1.226,58867,58805,30630,30629,14808,14785
C09,Sample X33,A,1.197,1.202,81875,81795,42555,42449,20746,20494
C10,Sample X34,A,1.173,1.168,88316,87381,45950,45627,22323,22099
C11,Sample X35,A,1.147,1.153,93494,92731,48615,48277,23518,23290
C12,Sample X36,A,1.109,1.054,93233,91479,48484,47451,23669,23025
D01,Sample X37,A,1.267,1.168,4867,4806,2525,2517,1233,1220
D02,Sample X38,A,1.196,1.218,66299,65906,34461,34278,16680,16571
D03,Sample X39,A,1.22,1.204,99450,98882,51638,51306,25141,24922
D04,Sample X40,A,1.235,1.219,127067,126144,66006,65562,32052,31778
D05,Sample X41,A,1.164,1.191,129509,128886,67489,67050,32789,32655
D06,Sample X42,A,1.193,1.214,134162,133328,69860,69677,33843,33807
D07,Sample X43,A,1.31,1.309,5758,5727,2999,3001,1449,1447
D08,Sample X44,A,1.278,1.295,79974,80108,41561,41526,20211,20114
D09,Sample X45,A,1.269,1.271,118692,118329,61960,61604,30166,29877
D10,Sample X46,A,1.183,1.202,124980,124925,65503,64955,31802,31472
D11,Sample X47,A,1.198,1.204,157012,155265,82155,81071,39754,39371
