Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.154,1.126,3467,3529,1811,1819,870,888
A02,Sample X2,A,1.142,1.134,3422,3512,1787,1818,864,879
A03,Sample X3,A,1.138,1.137,3386,3435,1751,1788,853,869
A04,Sample X4,A,1.124,1.123,3380,3417,1749,1797,857,862
A05,Sample X5,A,1.123,1.112,3377,3446,1749,1789,849,866
A06,Sample X6,A,1.121,1.116,3398,3448,1753,1778,844,861
A07,Sample X7,A,1.14,1.138,3377,3440,1747,1789,844,860
A08,Sample X8,A,1.124,1.127,3360,3444,1749,1772,854,864
A09,Sample X9,A,1.182,1.164,3360,3409,1747,1778,844,858
A10,Sample X10,A,1.103,1.109,3365,3401,1725,1759,844,850
A11,Sample X11,A,1.089,1.099,3304,3351,1714,1733,827,843
A12,Sample X12,A,1.084,1.092,3343,3378,1722,1735,830,845
B01,Sample X13,A,1.177,1.151,3516,3529,1826,1824,876,884
B02,Sample X14,A,1.18,1.147,3469,3526,1799,1832,869,878
B03,Sample X15,A,1.152,1.131,3413,3461,1762,1813,853,870
B04,Sample X16,A,1.191,1.149,3504,3552,1805,1841,871,892
B05,Sample X17,A,1.15,1.129,3479,3554,1812,1836,875,890
B06,Sample X18,A,1.143,1.124,3500,3567,1823,1837,884,896
B07,Sample X19,A,1.179,1.165,3421,3472,1775,1808,860,879
B08,Sample X20,A,1.181,1.168,3523,3555,1827,1846,878,891
B09,Sample X21,A,1.169,1.161,3556,3594,1848,1870,892,905
B10,Sample X22,A,1.166,1.154,3599,3665,1860,1890,899,914
B11,Sample X23,A,1.166,1.151,3609,3645,1865,1890,896,922
B12,Sample X24,A,1.114,1.119,3346,3401,1733,1763,843,849
C01,Sample X25,A,1.142,1.146,3470,3517,1794,1824,868,885
C02,Sample X26,A,1.172,1.162,3475,3485,1793,1809,864,882
C03,Sample X27,A,1.16,1.16,3439,3464,1778,1797,860,876
C04,Sample X28,A,1.147,1.138,3396,3451,1757,1796,855,868
C05,Sample X29,A,1.112,1.11,3347,3386,1742,1743,843,851
C06,Sample X30,A,1.113,1.098,3384,3401,1750,1772,835,852
C07,Sample X31,A,1.176,1.164,3402,3448,1760,1791,853,873
C08,Sample X32,A,1.17,1.158,3412,3456,1758,1791,845,869
C09,Sample X33,A,1.153,1.142,3381,3441,1762,1777,852,859
