group,1,2,3,4,5,6,7,8,9,10,11,12
A,G723,G723,G723,G723,G723,G723,G725,G725,G725,G725,G725,G725
B,G723,G723,G723,G723,G723,G723,G725,G725,G725,G725,G725,G725
C,G723,G723,G723,G723,G723,G723,G725,G725,G725,G725,G725,G725
D,G723,G723,G723,G723,G723,G723,G725,G725,G725,G725,G725,G725
E,G723,G723,G723,G723,G723,G723,G725,G725,G725,G725,G725,G725
F,G723,G723,G723,G723,G723,G723,G725,G725,G725,G725,G725,G725
G,P72,P72,P70,P70,P69,P69,P68,P68,P66,P66,P64,P64
H,P62,P62,BK,BK,3K3-N,3K3-N,BA,BA,4A3-N,4A3-N,4A3-P,4A3-P
