ara,ohc14,sal,fluo
0.0,0.0,0.0,0.013995893857583798
0.0,0.0,9.618,0.01839854862857622
0.0,0.0,19.02,0.028572270777294045
0.0,0.0,36.135,0.055944537348600484
0.0,0.0,100.0,0.04442052870330629
0.0,0.609,0.0,0.0455435482937301
0.0,0.609,9.618,0.048517090330634824
0.0,0.609,19.02,0.09523347601817804
0.0,0.609,36.135,0.08731116572444744
0.0,0.609,100.0,0.0824133194824555
0.0,2.065,0.0,0.05280948821898056
0.0,2.065,9.618,0.052901886506719085
0.0,2.065,19.02,0.09951886675199836
0.0,2.065,36.135,0.03128296083159761
0.0,2.065,100.0,0.072884591252888
0.0,10.0,0.0,0.05305260634104086
0.0,10.0,9.618,0.061671792578227594
0.0,10.0,19.02,0.11183602576518949
0.0,10.0,36.135,0.0675221275348291
0.0,10.0,100.0,0.10359712629095852
0.081,0.0,0.0,0.013467846094292187
0.081,0.0,9.618,0.0157194491110378
0.081,0.0,19.02,0.022183616441662224
0.081,0.0,36.135,0.05107619721674743
0.081,0.0,100.0,0.07101275525545422
0.081,0.609,0.0,0.04085039230049581
0.081,0.609,9.618,0.05689683215084915
0.081,0.609,19.02,0.07006714909900752
0.081,0.609,36.135,0.11213973051938607
0.081,0.609,100.0,0.14215838772265854
0.081,2.065,0.0,0.04887340871589117
0.081,2.065,9.618,0.06545863981023203
0.081,2.065,19.02,0.10339883751958781
0.081,2.065,36.135,0.12491387964514697
0.081,2.065,100.0,0.16904257892962776
0.081,10.0,0.0,0.05591754610882038
0.081,10.0,9.618,0.07585092520110523
0.081,10.0,19.02,0.1096068714384216
0.081,10.0,36.135,0.10786619186900209
0.081,10.0,100.0,0.1521856826489186
0.32,0.0,0.0,0.015001528991518203
0.32,0.0,9.618,0.017218451188632
0.32,0.0,19.02,0.028266415548386582
0.32,0.0,36.135,0.05902566367788123
0.32,0.0,100.0,0.06882156556760245
0.32,0.609,0.0,0.06547886896103569
0.32,0.609,9.618,0.10377119909867227
0.32,0.609,19.02,0.2093948565553304
0.32,0.609,36.135,0.4152802858861432
0.32,0.609,100.0,0.5026727848331032
0.32,2.065,0.0,0.08169700255181601
0.32,2.065,9.618,0.12218958440846958
0.32,2.065,19.02,0.23941109534917182
0.32,2.065,36.135,0.38233783488013007
0.32,2.065,100.0,0.5089356331238929
0.32,10.0,0.0,0.08477791743178655
0.32,10.0,9.618,0.14405895710253566
0.32,10.0,19.02,0.2588453510983677
0.32,10.0,36.135,0.34457395885623704
0.32,10.0,100.0,0.6676914789202724
13.0,0.0,0.0,0.035546873422631964
13.0,0.0,9.618,0.05570338986712556
13.0,0.0,19.02,0.07350604782393674
13.0,0.0,36.135,0.15159933318698754
13.0,0.0,100.0,0.1898907518046095
13.0,0.609,0.0,0.14432116086259272
13.0,0.609,9.618,0.3325452331668495
13.0,0.609,19.02,0.6422145617496462
13.0,0.609,36.135,1.5863693863323944
13.0,0.609,100.0,2.2927376452180077
13.0,2.065,0.0,0.15763447649895487
13.0,2.065,9.618,0.3662194965224305
13.0,2.065,19.02,0.7010403221334311
13.0,2.065,36.135,1.5669450153875477
13.0,2.065,100.0,2.6585612723079346
13.0,10.0,0.0,0.18003490384193432
13.0,10.0,9.618,0.41894909710690614
13.0,10.0,19.02,0.7888689324369018
13.0,10.0,36.135,1.5467176763926145
13.0,10.0,100.0,2.2249449773658085
