time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
200,211,200,185,170,96,106,146,121,1403,5204,8765,8347,87,120,113,109,91,86,105,116,600,2398,6136,5437,66,76,71,72,69,76,70,97,247,583,1011,2242,124,93,87,103,140,329,1124,1563,2139,2121,2313,2542,2607,2294,2202,2383,2022,2131,1803,1703,1675,1634,1633,1663,2309,2290,4047,4299,6015,6223,6203,6895,7133,6111,5705,7796,113,113,109,86,64,71,60,70,131,1721,1690,3655,,,172,123,,,63,58,362,360
220,284.5,271.5,255.5,237.5,175.5,182.5,244.5,353.5,5417.5,11223.5,14963.5,13422.5,143.5,175.5,167.5,158.5,150.5,134.5,169.5,236.5,1673.5,7139.5,11782.5,10322.5,93.5,115.5,105.5,97.5,96.5,110.5,94.5,139.5,393.5,931.5,1585.5,3392.5,168.5,134.5,122.5,150.5,202.5,520.5,1916.5,2747.5,3744.5,3722.5,4034.5,4366.5,2908.5,2508.5,2418.5,2637.5,2191.5,2337.5,1969.5,1869.5,1827.5,1800.5,1820.5,1834.5,2833.5,2961.5,5970.5,6179.5,8789.5,10111.5,10197.5,11134.5,11307.5,9443.5,8671.5,11631.5,155.5,155.5,135.5,130.5,114.5,119.5,102.5,146.5,645.5,4838.5,4739.5,7093.5,,,210.5,173.5,,,84,94,492,511
240,351.5,337.5,331.5,315.5,238.5,259.5,351.5,692.5,11240.5,18776.5,22295.5,19760.5,197.5,235.5,216.5,214.5,207.5,189.5,229.5,341.5,2728.5,14140.5,18756.5,15946.5,131.5,146.5,138.5,131.5,129.5,160.5,137.5,203.5,605.5,1427.5,2353.5,4882.5,221.5,183.5,167.5,197.5,256.5,634.5,2519.5,4060.5,5477.5,5640.5,6098.5,6551.5,3313.5,2828.5,2777.5,2971.5,2459.5,2617.5,2173.5,2058.5,2001.5,1956.5,1978.5,2016.5,3134.5,3329.5,6746.5,6816.5,9784.5,13650.5,15733.5,17216.5,17276.5,14630.5,13259.5,17136.5,208.5,208.5,163.5,182.5,154.5,159.5,142.5,233.5,1998.5,9384.5,8724.5,11389.5,,,250.5,214.5,,,108,126,705,714
260,430.5,412.5,399.5,383.5,320.5,329.5,426.5,987.5,17868.5,27094.5,30279.5,26694.5,253.5,288.5,278.5,269.5,258.5,243.5,294.5,431.5,3504.5,21903.5,26471.5,22491.5,171.5,193.5,178.5,176.5,175.5,200.5,186.5,272.5,915.5,2131.5,3414.5,6823.5,260.5,227.5,217.5,244.5,311.5,726.5,2921.5,4998.5,6898.5,7136.5,7748.5,8344.5,3767.5,3208.5,3151.5,3341.5,2770.5,2965.5,2464.5,2318.5,2260.5,2201.5,2224.5,2267.5,3267.5,3556.5,6874.5,6852.5,9784.5,14954.5,20228.5,23893.5,23901.5,21030.5,19336.5,23779.5,260.5,260.5,198.5,233.5,207.5,212.5,193.5,316.5,3681.5,14676.5,13653.5,16434.5,,,281.5,242.5,,,147,186,951,974
280,495,482,475,455,390,413,538,1229,23570,36350,39173,34471,325,342,334,330,316,305,363,558,4491,30713,34921,29605,211,228,219,214,219,240,222,337,1152,2797,4558,9056,306,277,255,286,365,833,3363,5837,8295,8852,9612,10406,4231,3639,3590,3782,3161,3376,2779,2610,2558,2489,2499,2556,3296,3518,6861,6839,9814,15211,22488,30464,31735,28070,26168,31041,319,319,253,282,256,273,254,406,5563,20723,19332,22027,,,312,280,,,183.5,243.5,1354.5,1381.5
300,560.5,543.5,535.5,521.5,493.5,512.5,639.5,1659.5,30419.5,46457.5,48727.5,42785.5,389.5,411.5,403.5,385.5,379.5,375.5,431.5,691.5,5502.5,40874.5,44288.5,37297.5,258.5,264.5,263.5,247.5,254.5,275.5,269.5,394.5,1313.5,3155.5,5157.5,10180.5,354.5,324.5,302.5,336.5,416.5,949.5,3914.5,6972.5,10265.5,11145.5,12200.5,13197.5,4666.5,4020.5,3999.5,4174.5,3498.5,3751.5,3127.5,2953.5,2872.5,2806.5,2833.5,2896.5,3357.5,3563.5,6600.5,6606.5,9573.5,15349.5,23189.5,34334.5,40668.5,36256.5,33707.5,39331.5,367.5,367.5,310.5,327.5,302.5,319.5,316.5,509.5,7666.5,27737.5,25946.5,28416.5,,,343.5,308.5,,,241.5,290.5,1906.5,1898.5
320,614,599,584,576,567,588,733,2001,35854,57506,58762,51604,456,462,454,443,433,423,500,812,6233,52559,54144,45711,299,303,304,292,292,311,306,434,1423,3406,5511,10765,395,362,344,376,474,1035,4269,8040,12189,13567,15042,16285,5008,4345,4333,4528,3828,4072,3407,3252,3139,3078,3124,3205,3386,3612,6635,6629,9505,15128,23750,36687,50666,45258,42151,48488,416,416,348,375,355,365,369,578,9318,34893,33387,35971,,,374,342,,,283.5,336.5,2687.5,2599.5
340,659,635,629,627,619,643,787,2294,40037,69805,69033,60394,513,516,510,492,492,491,557,900,6825,65114,63984,53791,328,339,332,321,325,347,345,478,1540,3612,5776,11261,430,393,380,414,519,1102,4511,8823,13609,15679,17479,19028,5374,4640,4675,4836,4126,4350,3700,3495,3409,3342,3366,3501,3440,3672,6647,6642,9559,14880,23716,38105,58857,55183,51292,58137,448,448,390,414,390,405,409,654,10522,40258,42259,45279,,,399,364,,,323,382,3668,3491
360,709.5,684.5,673.5,676.5,678.5,710.5,845.5,2499.5,43596.5,83091.5,80604.5,70416.5,570.5,562.5,551.5,545.5,538.5,545.5,619.5,978.5,7214.5,76822.5,74569.5,62906.5,383.5,389.5,376.5,369.5,376.5,389.5,383.5,533.5,1613.5,3813.5,6088.5,11620.5,483.5,453.5,428.5,455.5,555.5,1137.5,4625.5,9230.5,14566.5,17237.5,19453.5,21297.5,5660.5,4905.5,4944.5,5126.5,4409.5,4609.5,3983.5,3737.5,3640.5,3590.5,3625.5,3747.5,3530.5,3734.5,6722.5,6695.5,9553.5,14854.5,23566.5,38845.5,65798.5,65879.5,61496.5,68800.5,490.5,490.5,437.5,456.5,436.5,448.5,449.5,719.5,11409.5,44113.5,50721.5,54672.5,,,419.5,399.5,,,360.5,430.5,4935.5,4460.5
380,739.5,712.5,696.5,709.5,721.5,745.5,883.5,2643.5,45744.5,94327.5,91544.5,79797.5,618.5,610.5,594.5,583.5,583.5,590.5,663.5,1043.5,7400.5,86897.5,83903.5,71547.5,412.5,418.5,411.5,412.5,400.5,419.5,424.5,577.5,1722.5,3989.5,6326.5,11885.5,515.5,479.5,462.5,493.5,594.5,1193.5,4724.5,9514.5,15215.5,18364.5,20872.5,23074.5,5847.5,5095.5,5140.5,5330.5,4574.5,4787.5,4151.5,3964.5,3859.5,3780.5,3852.5,3956.5,3568.5,3785.5,6775.5,6779.5,9603.5,14841.5,23715.5,39036.5,69999.5,78466.5,73023.5,80927.5,518.5,518.5,475.5,489.5,471.5,479.5,490.5,762.5,11944.5,47148.5,57899.5,63142.5,,,448.5,425.5,,,394.5,466.5,6041.5,5503.5
