group,1,2,3,4,5,6,7,8,9,10,11,12
A,PBAD-PCin-E20-v5_00,PBAD-PCin-E20-v5_01,PBAD-PCin-E20-v5_02,PBAD-PCin-E20-v5_03,PBAD-PCin-E20-v5_04,PBAD-PCin-E20-v5_05,PBAD-PCin-E20-v6_00,PBAD-PCin-E20-v6_01,PBAD-PCin-E20-v6_02,PBAD-PCin-E20-v6_03,PBAD-PCin-E20-v6_04,PBAD-PCin-E20-v6_05
B,PBAD-PCin-E20-v5_10,PBAD-PCin-E20-v5_11,PBAD-PCin-E20-v5_12,PBAD-PCin-E20-v5_13,PBAD-PCin-E20-v5_14,PBAD-PCin-E20-v5_15,PBAD-PCin-E20-v6_10,PBAD-PCin-E20-v6_11,PBAD-PCin-E20-v6_12,PBAD-PCin-E20-v6_13,PBAD-PCin-E20-v6_14,PBAD-PCin-E20-v6_15
C,PBAD-PCin-E20-v5_20,PBAD-PCin-E20-v5_21,PBAD-PCin-E20-v5_22,PBAD-PCin-E20-v5_23,PBAD-PCin-E20-v5_24,PBAD-PCin-E20-v5_25,PBAD-PCin-E20-v6_20,PBAD-PCin-E20-v6_21,PBAD-PCin-E20-v6_22,PBAD-PCin-E20-v6_23,PBAD-PCin-E20-v6_24,PBAD-PCin-E20-v6_25
D,PBAD-PCin-E20-v5_30,PBAD-PCin-E20-v5_31,PBAD-PCin-E20-v5_32,PBAD-PCin-E20-v5_33,PBAD-PCin-E20-v5_34,PBAD-PCin-E20-v5_35,PBAD-PCin-E20-v6_30,PBAD-PCin-E20-v6_31,PBAD-PCin-E20-v6_32,PBAD-PCin-E20-v6_33,PBAD-PCin-E20-v6_34,PBAD-PCin-E20-v6_35
E,PBAD-PCin-E20-v5_40,PBAD-PCin-E20-v5_41,PBAD-PCin-E20-v5_42,PBAD-PCin-E20-v5_43,PBAD-PCin-E20-v5_44,PBAD-PCin-E20-v5_45,PBAD-PCin-E20-v6_40,PBAD-PCin-E20-v6_41,PBAD-PCin-E20-v6_42,PBAD-PCin-E20-v6_43,PBAD-PCin-E20-v6_44,PBAD-PCin-E20-v6_45
F,PBAD-PCin-E20-v5_50,PBAD-PCin-E20-v5_51,PBAD-PCin-E20-v5_52,PBAD-PCin-E20-v5_53,PBAD-PCin-E20-v5_54,PBAD-PCin-E20-v5_55,PBAD-PCin-E20-v6_50,PBAD-PCin-E20-v6_51,PBAD-PCin-E20-v6_52,PBAD-PCin-E20-v6_53,PBAD-PCin-E20-v6_54,PBAD-PCin-E20-v6_55
G,BC_0,BC_1,BC_2,BC_3,BC_4,BC_5,NC_0,NC_1,NC_2,NC_3,NC_4,NC_5
H,BK_0,BK_1,BK_2,BK_3,NK_0,NK_1,NK_2,NK_3,GFP_0,GFP_1,GFP_2,GFP_3
