time,e16x30SspGyrB_00,e16x30SspGyrB_01,e16x30SspGyrB_02,e16x30SspGyrB_03,e16x30SspGyrB_04,e16x30SspGyrB_05,e32x33NrdJ1_00,e32x33NrdJ1_01,e32x33NrdJ1_02,e32x33NrdJ1_03,e32x33NrdJ1_04,e32x33NrdJ1_05,e16x30SspGyrB_10,e16x30SspGyrB_11,e16x30SspGyrB_12,e16x30SspGyrB_13,e16x30SspGyrB_14,e16x30SspGyrB_15,e32x33NrdJ1_10,e32x33NrdJ1_11,e32x33NrdJ1_12,e32x33NrdJ1_13,e32x33NrdJ1_14,e32x33NrdJ1_15,e16x30SspGyrB_20,e16x30SspGyrB_21,e16x30SspGyrB_22,e16x30SspGyrB_23,e16x30SspGyrB_24,e16x30SspGyrB_25,e32x33NrdJ1_20,e32x33NrdJ1_21,e32x33NrdJ1_22,e32x33NrdJ1_23,e32x33NrdJ1_24,e32x33NrdJ1_25,e16x30SspGyrB_30,e16x30SspGyrB_31,e16x30SspGyrB_32,e16x30SspGyrB_33,e16x30SspGyrB_34,e16x30SspGyrB_35,e32x33NrdJ1_30,e32x33NrdJ1_31,e32x33NrdJ1_32,e32x33NrdJ1_33,e32x33NrdJ1_34,e32x33NrdJ1_35,e16x30SspGyrB_40,e16x30SspGyrB_41,e16x30SspGyrB_42,e16x30SspGyrB_43,e16x30SspGyrB_44,e16x30SspGyrB_45,e32x33NrdJ1_40,e32x33NrdJ1_41,e32x33NrdJ1_42,e32x33NrdJ1_43,e32x33NrdJ1_44,e32x33NrdJ1_45,e16x30SspGyrB_50,e16x30SspGyrB_51,e16x30SspGyrB_52,e16x30SspGyrB_53,e16x30SspGyrB_54,e16x30SspGyrB_55,e32x33NrdJ1_50,e32x33NrdJ1_51,e32x33NrdJ1_52,e32x33NrdJ1_53,e32x33NrdJ1_54,e32x33NrdJ1_55,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
200,73,70,70,65,54,57,53,57,61,48,56,56,62,58,48,51,57,56,54,59,57,66,77,89,59,58,59,56,56,62,54,65,76,95,111,140,63,64,58,57,76,85,57,97,141,301,343,490,64,56,55,56,63,78,61,108,154,278,373,540,60,71,73,88,125,205,70,142,261,549,783,1239,,,84,79,,,99,97,2054,8292
220,108.5,106.5,95.5,93.5,89.5,91.5,85.5,81.5,80.5,79.5,75.5,74.5,80.5,78.5,63.5,73.5,76.5,81.5,69.5,88.5,94.5,110.5,119.5,135.5,78.5,75.5,72.5,79.5,99.5,103.5,81.5,132.5,186.5,242.5,289.5,296.5,77.5,78.5,91.5,122.5,196.5,249.5,97.5,260.5,414.5,752.5,836.5,1034.5,82.5,77.5,83.5,126.5,178.5,236.5,92.5,270.5,445.5,725.5,873.5,1086.5,91.5,104.5,164.5,288.5,447.5,644.5,114.5,450.5,866.5,1496.5,1990.5,2619.5,,,110.5,109.5,,,118.5,132.5,2730.5,9227.5
240,137.5,147.5,130.5,126.5,124.5,121.5,117.5,113.5,120.5,113.5,111.5,124.5,118.5,124.5,96.5,107.5,110.5,113.5,106.5,154.5,165.5,178.5,201.5,221.5,114.5,116.5,133.5,179.5,205.5,225.5,117.5,329.5,414.5,451.5,535.5,555.5,112.5,141.5,225.5,391.5,557.5,629.5,145.5,684.5,1040.5,1460.5,1562.5,1823.5,116.5,137.5,220.5,392.5,526.5,624.5,145.5,690.5,1116.5,1436.5,1619.5,1863.5,125.5,230.5,522.5,882.5,1180.5,1446.5,175.5,1168.5,2197.5,3049.5,3784.5,4539.5,,,142.5,137.5,,,155,171,3674,9849
260,182,185,162,162,157,156,159,153,153,152,148,154,161,168,134,148,153,165,146,239,260,271,287,304,146,189,270,354,389,425,160,633,782,773,881,881,143,280,578,913,1145,1235,196,1310,1994,2498,2532,2859,149,270,566,929,1108,1255,197,1321,2113,2405,2631,2898,165,508,1182,1823,2221,2541,232,2184,4096,5106,6119,6978,,,172,174,,,184.5,203.5,4961.5,10617.5
280,228.5,229.5,212.5,207.5,202.5,194.5,201.5,204.5,200.5,196.5,192.5,203.5,201.5,234.5,189.5,196.5,225.5,233.5,193.5,383.5,417.5,424.5,451.5,474.5,189.5,317.5,555.5,700.5,725.5,750.5,225.5,1149.5,1416.5,1286.5,1437.5,1384.5,190.5,577.5,1209.5,1693.5,2019.5,2055.5,261.5,2199.5,3495.5,4105.5,3997.5,4321.5,194.5,567.5,1205.5,1761.5,1969.5,2111.5,266.5,2198.5,3728.5,3999.5,4170.5,4344.5,217.5,1000.5,2205.5,3062.5,3544.5,3846.5,300.5,3435.5,6861.5,8108.5,9153.5,9960.5,,,217.5,217.5,,,222,250,6044,11289
300,271.5,262.5,244.5,238.5,228.5,226.5,240.5,245.5,242.5,244.5,233.5,244.5,243.5,333.5,276.5,291.5,335.5,345.5,231.5,516.5,621.5,644.5,667.5,710.5,241.5,509.5,1047.5,1287.5,1323.5,1329.5,274.5,1580.5,2200.5,2058.5,2342.5,2205.5,241.5,947.5,2102.5,2875.5,3244.5,3318.5,306.5,2869.5,4998.5,5926.5,5933.5,6337.5,244.5,965.5,2136.5,3015.5,3263.5,3440.5,318.5,2824.5,5321.5,5827.5,6127.5,6313.5,260.5,1595.5,3533.5,4723.5,5315.5,5714.5,355.5,4385.5,9535.5,11402.5,12794.5,13890.5,,,247.5,239.5,,,276.5,294.5,6701.5,11955.5
320,311.5,300.5,279.5,270.5,258.5,261.5,274.5,275.5,277.5,278.5,280.5,292.5,282.5,419.5,367.5,393.5,436.5,474.5,272.5,585.5,747.5,778.5,810.5,855.5,275.5,676.5,1522.5,1975.5,2051.5,2052.5,317.5,1823.5,2672.5,2594.5,3121.5,2924.5,278.5,1333.5,3098.5,4254.5,4660.5,4784.5,362.5,3234.5,5864.5,7088.5,7550.5,8063.5,282.5,1358.5,3137.5,4486.5,4802.5,5005.5,366.5,3180.5,6259.5,7168.5,7838.5,7930.5,310.5,2283.5,5153.5,6786.5,7429.5,7957.5,408.5,5000.5,11482.5,14123.5,16774.5,18274.5,,,271.5,268.5,,,306.5,325.5,7509.5,12708.5
340,346,343,314,311,301,296,314,308,322,315,320,334,329,482,444,456,534,566,315,645,814,868,898,945,322,802,1919,2531,2706,2791,368,1930,2853,2848,3503,3276,328,1660,4018,5650,6096,6428,410,3404,6184,7594,8289,8922,325,1707,4061,5960,6382,6783,406,3329,6630,7761,8618,8736,359,2946,6770,9071,9806,10549,455,5288,12248,15372,19322,21554,,,305,292,,,340.5,362.5,8324.5,13145.5
360,399,388,372,355,345,343,361,368,371,370,374,376,376,543,514,524,606,656,368,699,884,945,974,1023,367,902,2188,2960,3225,3338,410,2020,2993,3001,3730,3517,374,1933,4749,6875,7297,7893,451,3536,6445,7992,8806,9529,375,1982,4818,7211,7750,8410,462,3440,6905,8135,9089,9233,403,3510,8279,11208,12251,13233,504,5493,12830,16179,20705,23540,,,330,327,,,381.5,401.5,9153.5,13717.5
380,438,433,408,395,383,385,406,405,405,409,409,426,422,585,572,586,673,725,406,743,935,1020,1061,1113,409,986,2404,3294,3625,3745,458,2097,3122,3179,3957,3702,408,2160,5400,7884,8356,9151,494,3671,6726,8354,9259,10043,412,2204,5459,8309,8943,9889,508,3563,7147,8458,9580,9743,444,4037,9655,13273,14534,15788,546,5672,13314,16905,21821,24880,,,360,362,,,421,442,9864,14149
