group,1,2,3,4,5,6,7,8,9,10,11,12
A,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1,PBAD.1
B,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1,PCin.1
C,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1,PSalTTC.1
D,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34,PBAD.34
E,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34,PSalTTC.34
F,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34,PTac.34
G,,,,,,,,,,,,
H,BK,BK,BK,BK,NK,NK,NK,NK,PK,PK,PK,PK
