iter	Passed	Remaining
405	49701	72715
406	49821	72589
407	49939	72461
408	50060	72337
409	50185	72217
410	50308	72096
411	50431	71974
412	50561	71862
413	50687	71746
414	50806	71618
415	50926	71493
416	51045	71365
417	51163	71236
418	51284	71112
419	51405	70988
420	51522	70858
421	51641	70732
422	51763	70609
423	51882	70482
424	52002	70355
425	52144	70260
426	52287	70165
427	52514	70183
428	52644	70069
429	52767	69948
430	52891	69826
431	53019	69710
432	53138	69582
433	53262	69462
434	53387	69342
435	53509	69218
436	53627	69089
437	53745	68961
438	53909	68890
439	54039	68778
440	54167	68661
441	54292	68541
442	54416	68419
443	54538	68296
444	54672	68187
445	54814	68087
446	54940	67969
447	55069	67852
448	55192	67731
449	55315	67608
450	55434	67479
451	55560	67360
452	55674	67227
453	55793	67099
454	55913	66973
455	56040	66855
456	56166	66736
457	56287	66610
458	56401	66477
459	56520	66350
460	56640	66223
461	56756	66093
462	56878	65969
463	56998	65842
464	57115	65713
465	57233	65585
466	57350	65455
467	57472	65332
468	57598	65212
469	57718	65087
470	57838	64960
471	57960	64837
472	58081	64711
473	58200	64585
474	58326	64466
475	58445	64339
476	58572	64220
477	58688	64090
478	58811	63968
479	58935	63846
480	59052	63717
481	59176	63596
482	59299	63473
483	59425	63354
484	59545	63228
485	59670	63108
486	59789	62981
487	59906	62853
488	60029	62730
489	60164	62619
490	60282	62492
491	60400	62364
492	60519	62238
493	60643	62116
494	60760	61988
495	60877	61859
496	60998	61734
497	61121	61612
498	61238	61483
499	61357	61357
500	61478	61232
501	61597	61106
502	61724	60987
503	61844	60862
504	61961	60734
505	62086	60614
506	62207	60489
507	62325	60362
508	62444	60236
509	62567	60113
510	62686	59987
511	62811	59867
512	62926	59737
513	63046	59612
514	63163	59484
515	63281	59357
516	63400	59230
517	63526	59111
518	63644	58984
519	63759	58855
520	63893	58743
521	64017	58620
522	64147	58505
523	64268	58381
524	64388	58256
525	64504	58127
526	64622	58000
527	64742	57876
528	64862	57750
529	64983	57626
530	65103	57502
531	65227	57380
532	65346	57254
533	65473	57136
534	65591	57009
535	65705	56879
536	65825	56754
537	65945	56629
538	66071	56510
539	66195	56388
540	66329	56275
541	66450	56152
542	66566	56024
543	66683	55896
544	66802	55770
545	66919	55643
546	67042	55521
547	67159	55394
548	67285	55274
549	67412	55156
550	67533	55031
551	67660	54912
552	67778	54786
553	67897	54661
554	68018	54537
555	68146	54419
556	68270	54298
557	68389	54172
558	68509	54047
559	68627	53921
560	68745	53795
561	68862	53668
562	68981	53543
563	69098	53416
564	69220	53293
565	69342	53170
566	69466	53049
567	69588	52926
568	69705	52799
569	69822	52673
570	69945	52550
571	70061	52423
572	70186	52302
573	70345	52207
574	70464	52082
575	70582	51956
576	70714	51840
577	70837	51718
578	70952	51590
579	71071	51465
580	71187	51338
581	71303	51211
582	71427	51089
583	71556	50972
584	71673	50845
585	71790	50719
586	71910	50594
587	72032	50471
588	72148	50344
589	72272	50223
590	72389	50096
591	72508	49972
592	72629	49848
593	72749	49724
594	72867	49599
595	72988	49475
596	73105	49348
597	73229	49227
598	73347	49102
599	73469	48979
600	73587	48854
601	73706	48729
602	73828	48606
603	73946	48481
604	74065	48356
605	74179	48229
606	74306	48109
607	74430	47988
608	74555	47867
609	74676	47743
610	74799	47622
611	74919	47498
612	75041	47375
613	75160	47250
614	75278	47125
615	75396	47000
616	75516	46876
617	75633	46750
618	75759	46630
619	75883	46509
620	76005	46386
621	76124	46261
622	76250	46141
623	76368	46017
624	76488	45893
625	76611	45771
626	76729	45645
627	76849	45522
628	76971	45399
629	77091	45276
630	77206	45149
631	77326	45025
632	77445	44901
633	77568	44779
634	77690	44657
635	77810	44532
636	77927	44407
637	78048	44284
638	78168	44160
639	78289	44037
640	78405	43911
641	78526	43788
642	78643	43663
643	78766	43541
644	78883	43416
645	79007	43295
646	79130	43173
647	79249	43049
648	79373	42927
649	79491	42803
650	79610	42679
651	79734	42557
652	79853	42433
653	79969	42307
654	80092	42186
655	80211	42062
656	80336	41941
657	80451	41815
658	80574	41693
659	80694	41570
660	80814	41446
661	80937	41324
662	81058	41201
663	81181	41079
664	81299	40955
665	81419	40832
666	81538	40708
667	81652	40581
668	81776	40460
669	81896	40336
670	82014	40212
671	82138	40091
672	82258	39968
673	82378	39844
674	82499	39722
675	82617	39597
676	82743	39477
677	82871	39357
678	82991	39234
679	83113	39112
680	83240	38992
681	83364	38870
682	83485	38747
683	83604	38624
684	83726	38501
685	83844	38377
686	83969	38256
687	84088	38133
688	84217	38014
689	84349	37896
690	84473	37774
691	84595	37652
692	84718	37530
693	84843	37409
694	84962	37285
695	85085	37163
696	85204	37040
697	85334	36921
698	85456	36798
699	85581	36677
700	85696	36552
701	85813	36428
702	85970	36320
703	86099	36200
704	86221	36078
705	86340	35954
706	86499	35847
707	86624	35726
708	86742	35602
709	86862	35479
710	86984	35356
711	87110	35235
712	87230	35112
713	87353	34990
714	87470	34866
715	87588	34741
716	87708	34618
717	87828	34495
718	87946	34371
719	88068	34249
720	88183	34123
721	88307	34002
722	88426	33878
723	88544	33754
724	88663	33630
725	88783	33507
726	88903	33384
727	89022	33261
728	89142	33137
729	89266	33016
730	89381	32891
731	89504	32769
732	89624	32646
733	89744	32523
734	89861	32399
735	89979	32275
736	90098	32151
737	90215	32027
738	90336	31904
739	90453	31781
740	90573	31658
741	90688	31533
742	90807	31409
743	90950	31294
744	91139	31195
745	91315	31091
746	91462	30977
747	91607	30862
748	91740	30743
749	91879	30626
750	92027	30512
751	92170	30396
752	92304	30277
753	92442	30160
754	92563	30037
755	92691	29916
756	92813	29793
757	92946	29674
758	93093	29559
759	93227	29440
760	93354	29318
761	93471	29194
762	93591	29071
763	93712	28947
764	93837	28825
765	93958	28702
766	94077	28579
767	94200	28456
768	94319	28332
769	94443	28210
770	94567	28088
771	94685	27964
772	94809	27841
773	94932	27719
774	95048	27594
775	95174	27473
776	95296	27350
777	95423	27228
778	95543	27105
779	95663	26982
780	95781	26858
781	95899	26734
782	96025	26612
783	96147	26489
784	96266	26365
785	96394	26244
786	96516	26121
787	96641	26000
788	96756	25875
789	96876	25751
790	96996	25628
791	97116	25505
792	97235	25381
793	97355	25258
794	97474	25134
795	97592	25011
796	97712	24887
797	97829	24763
798	97946	24639
799	98065	24516
800	98183	24392
801	98303	24269
802	98428	24147
803	98549	24024
804	98668	23901
805	98787	23777
806	98907	23654
807	99022	23530
808	99145	23407
809	99267	23285
810	99383	23160
811	99502	23037
812	99620	22914
813	99740	22790
814	99858	22667
815	99977	22543
816	100096	22420
817	100220	22298
818	100344	22176
819	100469	22054
820	100590	21931
821	100706	21807
822	100825	21684
823	100946	21561
824	101068	21438
825	101196	21317
826	101320	21195
827	101447	21073
828	101568	20950
829	101694	20828
830	101811	20705
831	101960	20588
832	102094	20467
833	102225	20347
834	102346	20224
835	102466	20100
836	102585	19977
837	102708	19855
838	102886	19743
839	103057	19629
840	103180	19507
841	103301	19384
842	103424	19261
843	103544	19138
844	103675	19017
845	103797	18894
846	103914	18770
847	104034	18647
848	104155	18524
849	104275	18401
850	104403	18279
851	104521	18156
852	104639	18032
853	104765	17910
854	104882	17787
855	105016	17666
856	105135	17543
857	105258	17420
858	105378	17297
859	105499	17174
860	105617	17050
861	105741	16928
862	105858	16804
863	105979	16681
864	106098	16558
865	106217	16435
866	106334	16312
867	106453	16188
868	106573	16065
869	106694	15942
870	106810	15819
871	106936	15697
872	107053	15573
873	107174	15450
874	107293	15327
875	107419	15205
876	107535	15082
877	107655	14958
878	107772	14835
879	107889	14712
880	108011	14589
881	108132	14466
882	108252	14343
883	108381	14222
884	108501	14099
885	108622	13976
886	108741	13853
887	108863	13730
888	108981	13607
889	109102	13484
890	109220	13361
891	109338	13238
892	109460	13115
893	109588	12993
894	109709	12870
895	109831	12748
896	109954	12625
897	110076	12503
898	110194	12380
899	110317	12257
900	110434	12134
901	110555	12011
902	110675	11888
903	110797	11766
904	110916	11643
905	111041	11520
906	111160	11397
907	111277	11274
908	111399	11152
909	111519	11029
910	111637	10906
911	111753	10783
912	111871	10660
913	111994	10537
914	112117	10415
915	112240	10292
916	112355	10169
917	112491	10048
918	112609	9925
919	112723	9802
920	112844	9679
921	112966	9556
922	113087	9434
923	113207	9311
924	113324	9188
925	113445	9065
926	113561	8942
927	113676	8819
928	113794	8696
929	113919	8574
930	114035	8451
931	114152	8328
932	114277	8206
933	114398	8083
934	114518	7961
935	114648	7839
936	114764	7716
937	114890	7594
938	115016	7471
939	115138	7349
940	115256	7226
941	115376	7103
942	115497	6981
943	115620	6858
944	115746	6736
945	115868	6614
946	115990	6491
947	116113	6369
948	116234	6246
949	116354	6123
950	116478	6001
951	116603	5879
952	116722	5756
953	116841	5633
954	116969	5511
955	117108	5389
956	117228	5267
957	117352	5144
958	117472	5022
959	117591	4899
960	117711	4777
961	117827	4654
962	117950	4531
963	118075	4409
964	118189	4286
965	118305	4163
966	118426	4041
967	118548	3918
968	118667	3796
969	118785	3673
970	118905	3551
971	119027	3428
972	119147	3306
973	119315	3185
974	119436	3062
975	119555	2939
976	119677	2817
977	119797	2694
978	119913	2572
979	120033	2449
980	120155	2327
981	120278	2204
982	120395	2082
983	120527	1959
984	120648	1837
985	120768	1714
986	120888	1592
987	121008	1469
988	121126	1347
989	121247	1224
990	121365	1102
991	121485	979
992	121607	857
993	121726	734
994	121842	612
995	121959	489
996	122074	367
997	122198	244
998	122323	122
999	122442	0
