motif,coefficient
C3,0.2161797468933885
pfunc-1_0,0.03102671905649837
weight5,0.02436865717842837
pfunc-0_0,0.023069418966165888
ensemble_0,0.02210105457302211
pfunc-1_1,0.018808269789109492
pfunc-0_1,0.014503198827801744
pme_0_1292,0.013264236170897108
pme_0_908,0.010296781176638601
pme_0_904,0.008643952636052029
pme_0_1096,0.00849808607582015
U5,0.00711260028869103
A5,0.006784577018490483
subopt_energy_0,0.0067037398772637445
mfe_stack_energy_0,0.006611773704913769
G5,0.005788729596527808
pme_1_1292,0.004833778511843479
pme_1_750,0.004815580977634724
subopt_stack_energy_0,0.004585071323765947
pme_1_908,0.004478923850799327
mfe_energy_0,0.004368769649807212
pme_0_196,0.0039883662960743015
pme_0_4,0.003806604519961638
pme_0_246,0.003562582614939336
pme_0_1443,0.003552730131686928
pme_1_1800,0.0030802461680283994
pme_1_1450,0.003062617636405574
pme_0_1305,0.002821195831325887
pme_0_655,0.002784223887848623
pme_0_1004,0.0027477691432553934
pme_0_1196,0.002744866820325832
pme_0_1156,0.0026890409144593526
weight3,0.0024901777196133894
struct_dg_0,0.002342788676118334
pme_0_2341,0.0023239984564162137
pme_1_55,0.002298067959576806
pme_0_54,0.002292453847038884
A3,0.0022806197918130485
ensemble_1,0.0022557572436616787
pme_1_1950,0.0022523527491610917
pme_0_1400,0.0022029410248036855
pme_0_1800,0.002132909898737365
pme_1_261,0.0020188887531854866
pme_0_491,0.0020047875014273645
pme_1_1257,0.0019877987793186515
pme_1_1305,0.0019797475835670124
pme_0_1107,0.001972719141110689
subopt_energy_1,0.0019123649197034815
pme_1_691,0.001822682018882701
pme_0_895,0.0018184525040362864
pme_1_1550,0.0018015920511759956
pme_0_645,0.0017734489939933897
pme_1_950,0.0017530970306728283
pme_1_4,0.0017387205170103922
pme_0_1404,0.0017121446701997012
pme_0_1450,0.0017119586084179354
pme_1_1110,0.0017059573456072847
pme_0_857,0.0016912187890311236
pme_0_1950,0.001682377293632765
pme_1_211,0.001668078091764105
pme_0_1444,0.0016540760790729283
pme_0_1401,0.001558332259051038
pme_0_2350,0.0015577944110663992
pme_0_490,0.0015468250052591977
pme_1_789,0.001499977102733867
pme_0_1545,0.0014986328783925032
pme_0_10,0.0014975719562133568
pme_0_1143,0.001449981183329738
pme_1_1600,0.0013877706073300833
pme_0_1000,0.0013796042770248898
pme_1_295,0.0013711405200910454
pme_1_6,0.0013688489091487214
pme_0_261,0.0013545937947636864
pme_0_1650,0.0013162055053138292
pme_0_1289,0.0013039032940874462
pme_0_840,0.0012902408483831673
pme_1_2350,0.0012860925345260313
pme_0_1909,0.0012781821890817263
pme_1_150,0.00127305980759112
pme_1_1489,0.0012645484728925935
pme_1_250,0.0012456548760176919
pme_1_196,0.0012387990719178413
pme_1_1900,0.0012339684058944112
pme_0_1589,0.0012194917971860943
pme_1_1004,0.001216389234775641
struct_proba_0,0.001190795435718964
pme_0_259,0.0011892907689098468
pme_0_750,0.001174808900175654
pme_0_600,0.0011561942768991591
pme_0_1894,0.0011358644644685902
pme_0_789,0.0011253222754374586
pme_0_59,0.0011208764735237903
pme_1_1545,0.0011166640463836195
pme_0_1449,0.0011162721997509208
pme_1_450,0.0011082521258273686
pme_1_1400,0.0011078898976003464
pme_0_405,0.0011002665139803304
C5,0.0010964390653760143
defect_1,0.0010872441903011037
pme_1_7,0.0010735643487219282
pme_1_10,0.0010696330434075499
pme_0_500,0.0010660811635779105
pme_1_2150,0.0010637629609464554
pme_1_294,0.0010579376097991885
pme_1_650,0.0010501363342955248
defect_0,0.0010492083606672572
pme_1_500,0.001045940618697628
pme_0_950,0.0010371469309947462
pme_1_900,0.0010244106448356557
pme_1_800,0.0010181740397275816
pme_0_1596,0.00100074390131645
pme_1_245,0.0009886375191328555
pme_0_1257,0.000979066543795476
pme_0_1606,0.0009703364637569323
pme_1_600,0.0009598031295303239
pme_0_1550,0.000957719079279871
pme_0_154,0.0009430170795441672
pme_0_1159,0.0009345387123867357
pme_0_2246,0.0009219588787926296
pme_1_54,0.0009193275627809104
pme_1_350,0.0009178971684736985
pme_0_2100,0.0009163133069842412
pme_0_2104,0.0009082012302980992
pme_0_100,0.0009080555539243639
pme_1_2400,0.0009065143452136565
pme_1_50,0.000903184729177032
pme_0_150,0.0009019047049346306
pme_1_5,0.0008943267722505917
pme_1_1590,0.0008854058748043532
pme_1_1300,0.0008701347678789381
pme_1_2117,0.0008663543421573405
pme_0_1500,0.0008652539892481635
pme_1_1159,0.0008567136039054224
pme_0_104,0.0008489757967051129
pme_0_777,0.0008466159892154722
pme_1_2360,0.000845159394556837
pme_1_300,0.0008450937268164453
pme_0_2400,0.0008415849308452286
pme_1_1650,0.0008370133946302403
pme_1_1205,0.0008216582411659018
pme_0_650,0.0008172494030761081
pme_0_295,0.0008136432356319022
pme_1_105,0.0008124927058807987
pme_0_1100,0.0008029691407967479
pme_1_2060,0.0008029623932604563
pme_0_5,0.0007967342828736842
pme_0_245,0.0007955690299252164
pme_0_1206,0.0007928931282345242
subopt_stack_energy_1,0.0007921209323814041
pme_0_488,0.0007911983756014652
pme_0_1050,0.0007891425053062096
pme_0_1061,0.000788047466676873
pme_1_550,0.0007845590117685487
pme_1_1500,0.000781997028256987
pme_0_1106,0.0007817130040476674
pme_1_100,0.0007814653373077464
pme_0_761,0.0007789183477525989
pme_1_1497,0.0007759686104848155
pme_1_1000,0.0007724832627477293
pme_0_1110,0.0007721951135125629
pme_0_140,0.0007652110696585534
pme_1_2300,0.0007635915855914414
pme_0_706,0.0007627164552057978
pme_1_1200,0.0007543026965990103
pme_1_961,0.0007423508630506471
pme_0_2312,0.0007388426026247332
pme_1_1250,0.0007332427385228538
pme_0_550,0.0007319177162692972
pme_0_350,0.0007314592236024361
