time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med_1,gfp_med_2,gfp_low
200,5694.22,9084.94,7123.73,405.35,14894.89,14641.04,474.16,5162.8,1248.15,3825.59,413.09,435.38,1032.56,4322.93,219.41,35.18,-11.44,500.46,701.38,454.47,362.99,811.95,323.66,8955.88,2793.37,1466.27,9759.93,2252.61,497.22,2679.3,318.32,655.86,173.56,7463.82,145.0,1727.34,364.33,7472.05,498.82,581.08,1644.5,9549.79,5740.9,10078.31,1007.6,8539.71,3041.53,101.23,395.11,1204.92,847.65,261.59,143.82,115.64,5462.86,6132.84,11023.16,668.72,4257.31,11395.67,2636.67,7350.61,7684.56,7406.87,8573.95,11886.59,3127.61,4705.42,8659.34,-1.32,-21.58,2993.6,7370.58,326.27,100.1,3785.3,4886.14,2625.51,2938.76,6458.23,403.22,63.67,-14.16,1097.54,1142.12,1384.52,731.79,578.0,338.68,73.8,150297.93,154208.04,24065.07
220,12581.15,19231.62,15085.29,1621.35,28967.65,24245.6,1043.58,7716.34,2348.72,6332.85,644.56,524.98,2063.01,7410.85,419.42,243.01,150.56,1327.07,1584.09,987.9,671.09,1369.62,865.61,14720.92,3888.79,2537.78,21231.18,5884.51,1699.57,7586.65,1504.0,2012.38,636.63,15521.99,491.71,3657.88,156.97,13564.93,1433.25,1782.09,3068.07,14387.18,10956.77,18412.75,2422.75,20291.16,7333.87,394.15,996.8,3439.91,2961.46,971.45,481.62,638.41,14306.2,14284.35,20093.3,1718.1,7918.65,17448.94,4020.59,13773.47,13611.72,10594.06,16544.87,22987.77,7448.45,9880.14,18588.07,273.59,-46.35,7223.18,11138.89,560.95,480.06,9340.96,10480.06,6681.79,6709.37,11009.77,968.05,400.33,426.74,1947.81,2098.39,2741.76,998.89,1498.01,751.26,296.18,152402.33,139645.43,26108.49
240,18230.0,30376.7,22355.26,2836.9,44877.78,34805.23,1688.4,10471.5,3172.42,8446.16,919.66,577.2,2915.28,9976.22,580.26,335.61,207.7,1770.87,2422.73,1287.22,842.48,1827.19,1295.8,20903.44,5346.38,2944.6,31840.75,9064.77,4364.52,11692.6,3013.82,3122.98,938.32,22955.63,881.9,6036.41,-24.24,18267.71,1803.05,2495.02,3896.2,18397.68,14724.99,25050.52,3099.42,28869.4,10186.94,345.89,1205.63,4786.86,4481.12,1553.87,664.88,775.54,20806.68,20640.73,29293.8,2076.31,11764.65,22765.14,5564.61,18327.84,17814.52,13006.78,22673.23,28998.69,9355.71,13502.23,26405.97,231.58,-5.68,9713.0,14857.35,639.67,607.72,13827.35,16088.05,8992.37,9385.8,15306.37,1382.86,672.48,727.15,3138.23,3143.11,4194.09,1195.09,2153.54,812.3,370.02,163125.05,167488.03,29123.3
260,26920.57,39761.08,29307.25,3866.41,58625.1,45832.96,2197.52,13762.98,4157.9,10956.07,1039.14,686.38,3829.83,14100.11,564.47,252.18,115.22,2389.85,3250.94,1692.97,994.89,2377.49,1607.64,29079.18,7173.27,3671.08,40483.11,12318.2,7140.04,15705.1,4328.03,4373.63,1115.81,32431.58,1419.3,9728.67,1034.93,22750.95,2193.18,3024.26,4552.25,23328.09,18518.36,33179.39,3414.33,35435.22,13089.55,378.72,1337.73,5921.4,5649.99,2359.54,691.07,782.71,27471.88,26511.66,38853.3,2252.67,16871.67,30223.3,7118.98,23261.22,22676.44,16428.99,28265.64,37959.0,10621.81,16352.69,31520.39,194.4,33.3,12401.34,19272.7,672.23,694.0,18558.03,23151.3,11062.05,10989.93,20667.66,1887.54,952.73,1010.72,4415.61,3996.78,5724.91,1262.5,2891.14,905.57,328.28,181230.46,186884.73,31043.28
280,33733.35,50504.94,36105.75,5190.84,72717.29,56994.58,3022.05,17018.8,5394.0,12949.38,1234.11,787.11,4843.28,16773.77,720.03,295.84,118.51,2940.13,4165.45,2003.59,1136.58,2698.81,2159.7,38594.14,8488.63,4784.48,51522.57,16477.04,9856.03,21463.57,6142.14,6193.37,1548.79,43677.41,2181.82,14963.8,3532.88,28005.82,2957.57,3916.64,5097.43,26934.19,21802.52,39003.74,3921.18,44045.0,16994.0,338.76,1648.27,7187.08,7328.54,3419.25,741.31,765.53,36324.81,34330.82,49989.55,2674.49,21392.86,34769.83,7624.48,27361.09,25659.89,18233.21,34386.09,45893.88,12092.8,18706.46,38930.61,192.24,-29.58,15525.68,21919.97,722.19,788.36,23961.22,29555.02,14925.9,14868.28,23306.67,2389.32,1317.17,1409.89,5680.86,4758.98,6900.69,1422.19,3557.94,1053.49,392.91,198378.3,205716.49,32642.83
300,39613.48,61392.42,43305.15,6663.03,87679.86,68821.13,3828.99,18434.78,5954.81,14064.13,1225.06,704.44,5432.97,18391.37,842.84,321.29,68.02,3436.37,4691.43,2221.75,1146.98,2961.18,2614.4,44895.06,8735.89,5504.32,63916.95,22042.9,13238.28,25680.9,8612.71,7696.64,2273.48,55716.98,3411.98,19018.39,7365.95,29858.5,3267.36,4247.9,5149.51,27995.79,22556.81,39725.65,3997.01,55244.37,18444.71,389.0,1876.4,8370.63,9099.66,4395.45,960.64,914.13,44270.86,40317.42,57389.31,2910.82,23172.03,35342.05,7575.09,27971.53,26631.31,18271.02,35944.85,46759.21,12637.37,19491.6,44562.71,262.08,27.81,17539.7,22789.71,785.08,895.46,27320.33,32178.78,17182.06,17329.17,23445.19,2809.37,1881.9,1988.14,6733.96,5447.44,7765.03,1597.32,4165.84,1281.13,569.43,214490.27,217293.44,33838.35
320,47633.11,71380.23,50882.85,8481.32,102363.53,81763.88,4279.51,18815.85,5833.21,14282.52,1227.63,758.07,5792.1,19118.76,944.21,340.38,132.42,3639.52,4806.34,2257.39,1167.37,3108.55,2954.58,46132.43,8562.89,5639.92,77838.82,27195.24,16235.85,32676.38,11097.64,8559.48,2908.77,65092.56,5061.38,20722.4,12339.7,30862.48,3519.55,4517.01,5304.51,26926.78,23198.98,39754.06,4302.91,65152.65,18539.76,532.64,2181.09,8823.85,10362.64,4764.5,1008.5,1140.9,50174.27,44305.47,59062.67,3245.08,22308.74,33560.89,7334.77,28545.69,25504.67,17592.04,37591.96,47321.6,13766.33,21735.05,47885.0,345.33,18.72,19538.49,22853.34,864.53,1022.23,29514.94,32479.87,18955.63,18837.9,22463.48,3352.11,2525.65,2730.67,7342.78,6001.63,8230.39,1753.77,4900.56,1780.13,825.61,238099.63,243239.67,35274.45
340,54573.4,83274.27,61120.71,10460.6,119608.57,94059.43,4215.08,18970.3,5717.44,14659.71,1228.31,778.8,5938.45,19509.52,940.38,364.11,149.41,3854.4,4951.24,2326.04,1180.66,3140.26,3136.83,46865.55,8451.15,5676.35,90952.59,28737.19,20357.07,38701.12,12160.16,8704.23,3096.36,69634.75,6042.16,21747.6,17975.08,29623.92,3479.8,4415.66,5315.82,26338.96,23464.59,38825.32,4401.26,69682.75,17974.98,571.28,2346.31,8712.84,10494.35,4560.62,1075.84,1230.07,50764.24,44690.81,56283.62,3394.38,22171.58,32718.63,7321.83,27784.39,26428.68,17232.99,37595.81,46922.68,14680.65,23306.73,49501.57,390.97,11.35,20563.07,23433.67,861.65,1034.39,29146.89,30846.56,18877.93,18300.18,22414.42,3653.96,2945.7,3308.09,7717.72,6587.13,8825.49,1961.99,5248.86,2269.11,1129.68,265873.55,272206.94,36532.94
360,61610.59,93204.91,69574.28,11421.6,138952.84,92387.43,4209.4,19367.1,5611.51,15456.4,1215.06,734.75,6316.08,20703.42,914.04,355.92,191.27,4027.31,4990.31,2271.34,1165.72,3291.71,3204.85,46651.39,8320.52,5440.75,98070.53,30054.71,25520.6,41595.34,12311.83,8594.26,3229.56,74497.54,7060.61,22570.91,24075.08,30027.59,3339.16,4435.68,5895.32,26082.85,25411.32,40489.8,4796.93,70029.46,17552.4,615.99,2780.01,9236.74,10422.82,4443.91,1167.58,1442.38,52537.73,46603.6,57117.59,3714.56,21715.97,32204.21,7427.95,28613.19,26912.27,16971.55,38991.93,47965.28,15740.76,24614.57,48264.3,328.58,-10.74,21665.13,24356.51,878.51,1095.61,28564.65,29559.57,19090.82,18715.66,21972.11,4034.63,3245.71,3656.5,8159.62,7434.4,9613.3,2235.03,5589.62,2678.0,1429.83,280922.92,283091.15,37690.87
380,70012.77,103282.33,68255.51,10781.94,144882.44,91600.65,4081.56,19125.02,5509.55,16065.38,1191.97,745.68,6652.37,21290.79,929.01,343.37,197.23,4244.9,5094.83,2213.02,1193.86,3381.93,3246.97,44984.24,8091.24,5367.99,103586.92,30067.78,30776.37,45312.41,12484.66,8395.0,3227.65,77634.36,8175.06,22156.25,29925.9,30223.16,3305.44,4349.71,6445.59,25421.97,27027.32,41440.14,5150.59,71451.91,17487.17,624.21,3203.32,9772.36,10434.65,4433.95,1074.38,1856.1,56591.39,49015.98,57688.19,4137.76,21301.6,31066.67,7343.63,29667.25,27781.25,16453.74,40871.1,48816.5,17267.25,26189.94,48450.47,259.5,3.01,23372.4,25087.17,864.55,1000.17,29521.97,29653.62,19344.07,19087.35,21438.64,4579.78,3620.91,4127.11,8406.83,8272.79,10462.56,2539.56,5930.14,3482.94,1914.64,271677.93,270114.23,38064.24
