ara,ohc14,sal,E38-E20,E11-E38_x,E38-E11,E11-E38_y
0.0,0.0,0,0.021429634320380295,0.02137834773854622,0.00020298325261804538,0.020469890476601405
0.0,0.0,25,0.07685485482477718,0.0250317663747753,0.00046872675526590866,0.02262618551172299
0.0,0.0,50,0.061890060321953114,0.024544867689181002,0.000562477642572907,0.023927567850370694
0.0,0.0,100,0.07863024159870778,0.026405994592474988,0.0008718101491863097,0.02523347771571631
0.0,2.5,0,0.061999011671103194,0.043659603915176794,0.00011752372089933722,0.039100367220287445
0.0,2.5,25,0.122281656982281,0.24101523373917072,0.0005852113485083399,0.17860706685274572
0.0,2.5,50,0.1159913904738897,0.21798974355153827,0.001036371039281166,0.24652094691008442
0.0,2.5,100,0.14929737936056198,0.3318486426228821,0.0009657612651688687,0.31813113831154327
0.0,5.0,0,0.08188818052505767,0.0442485356774437,0.00017259619262236626,0.038931387884862556
0.0,5.0,25,0.1496659756898695,0.19143470041034072,0.00040172519292977114,0.17478284408823394
0.0,5.0,50,0.13925303421931048,0.2404427401195592,0.0014281040593805297,0.24532745668521097
0.0,5.0,100,0.1640110558350373,0.3141321556157859,0.0016400552786471029,0.3207742939521194
0.0,10.0,0,0.05911305342533317,0.0450439075548315,2.200331574656323e-05,0.04158436295690794
0.0,10.0,25,0.10286402812061987,0.20871156827985107,0.0014743532921558025,0.18718319872185787
0.0,10.0,50,0.10867694304527312,0.22321708342898772,0.0015469289098468363,0.2785100866098706
0.0,10.0,100,0.14306067880054785,0.3488640875312861,0.0012161840457645193,0.32977883934468605
0.8125,0.0,0,0.032922294651437874,0.02167595301891656,0.00023081413818235282,0.020128584065366977
0.8125,0.0,25,0.07924041080051367,0.0254622877343212,0.0010716027819231417,0.02399270486515067
0.8125,0.0,50,0.0884811104390156,0.026722148481930757,0.0010698482364198464,0.025728650257687304
0.8125,0.0,100,0.10626184089621224,0.030102810348546373,0.0014377943233904711,0.02840690026809383
0.8125,2.5,0,0.17760918384449198,0.04526491979391945,0.0033987344777756555,0.04944906041529462
0.8125,2.5,25,0.642829252853262,0.3408826578403804,0.012122449698872492,0.27304128694266316
0.8125,2.5,50,0.7688330522882653,0.23768559995803154,0.0036751157021160516,0.41021357874346515
0.8125,2.5,100,1.5277113263832163,0.44517381312607796,0.003838796258485557,0.3832133351593038
0.8125,5.0,0,0.3508433531689071,0.062201828917959355,0.003679235973046031,0.07023105287708249
0.8125,5.0,25,0.9435879362339723,0.28746608626754,0.05315120874405964,0.41218507232748924
0.8125,5.0,50,1.1253057992345297,0.4341730119989685,0.14155453047098515,0.40733025478369705
0.8125,5.0,100,1.6404028621707272,0.49109245889450504,0.029201364865343783,0.4349239369964854
0.8125,10.0,0,0.2026642152748239,0.07035032133890744,0.0032772358220478468,0.07341338006663532
0.8125,10.0,25,0.6486308912862652,0.34841351966301404,0.21788301088069645,0.4294607135583099
0.8125,10.0,50,0.8947695302141764,0.48756083965913266,0.20623476097306567,0.5007755839929598
0.8125,10.0,100,1.5709371671558434,0.5809265397015362,0.19612658389660975,0.4980086009366142
3.25,0.0,0,0.045316971178541436,0.020646185940336684,0.00023713798666064745,0.018180431289829352
3.25,0.0,25,0.10197786137031409,0.023774840848669924,0.002096684715708257,0.021403720492293152
