name,8 h ,ara,ohc14,sal,ara_,ohc14_,sal_
E11-E38_000,0.020469890476601405,0,0,0,0.0,0.0,0
E11-E38_001,0.02262618551172299,0,0,1,0.0,0.0,25
E11-E38_002,0.023927567850370694,0,0,2,0.0,0.0,50
E11-E38_003,0.02523347771571631,0,0,3,0.0,0.0,100
E11-E38_010,0.039100367220287445,0,1,0,0.0,2.5,0
E11-E38_011,0.17860706685274572,0,1,1,0.0,2.5,25
E11-E38_012,0.24652094691008442,0,1,2,0.0,2.5,50
E11-E38_013,0.31813113831154327,0,1,3,0.0,2.5,100
E11-E38_020,0.038931387884862556,0,2,0,0.0,5.0,0
E11-E38_021,0.17478284408823394,0,2,1,0.0,5.0,25
E11-E38_022,0.24532745668521097,0,2,2,0.0,5.0,50
E11-E38_023,0.3207742939521194,0,2,3,0.0,5.0,100
E11-E38_030,0.04158436295690794,0,3,0,0.0,10.0,0
E11-E38_031,0.18718319872185787,0,3,1,0.0,10.0,25
E11-E38_032,0.2785100866098706,0,3,2,0.0,10.0,50
E11-E38_033,0.32977883934468605,0,3,3,0.0,10.0,100
E11-E38_100,0.020128584065366977,1,0,0,0.8125,0.0,0
E11-E38_101,0.02399270486515067,1,0,1,0.8125,0.0,25
E11-E38_102,0.025728650257687304,1,0,2,0.8125,0.0,50
E11-E38_103,0.02840690026809383,1,0,3,0.8125,0.0,100
E11-E38_110,0.04944906041529462,1,1,0,0.8125,2.5,0
E11-E38_111,0.27304128694266316,1,1,1,0.8125,2.5,25
E11-E38_112,0.41021357874346515,1,1,2,0.8125,2.5,50
E11-E38_113,0.3832133351593038,1,1,3,0.8125,2.5,100
E11-E38_120,0.07023105287708249,1,2,0,0.8125,5.0,0
E11-E38_121,0.41218507232748924,1,2,1,0.8125,5.0,25
E11-E38_122,0.40733025478369705,1,2,2,0.8125,5.0,50
E11-E38_123,0.4349239369964854,1,2,3,0.8125,5.0,100
E11-E38_130,0.07341338006663532,1,3,0,0.8125,10.0,0
E11-E38_131,0.4294607135583099,1,3,1,0.8125,10.0,25
E11-E38_132,0.5007755839929598,1,3,2,0.8125,10.0,50
E11-E38_133,0.4980086009366142,1,3,3,0.8125,10.0,100
E11-E38_200,0.018180431289829352,2,0,0,3.25,0.0,0
E11-E38_201,0.021403720492293152,2,0,1,3.25,0.0,25
E11-E38_202,0.024176955727065273,2,0,2,3.25,0.0,50
E11-E38_203,0.025976290576779446,2,0,3,3.25,0.0,100
E11-E38_210,0.03333116663492779,2,1,0,3.25,2.5,0
E11-E38_211,0.09646197611203414,2,1,1,3.25,2.5,25
E11-E38_212,0.13127011967881208,2,1,2,3.25,2.5,50
E11-E38_213,0.11550911715622553,2,1,3,3.25,2.5,100
E11-E38_220,0.03540702507531957,2,2,0,3.25,5.0,0
E11-E38_221,0.11182341003818934,2,2,1,3.25,5.0,25
E11-E38_222,0.23217514522303861,2,2,2,3.25,5.0,50
E11-E38_223,0.10307357336705025,2,2,3,3.25,5.0,100
E11-E38_230,0.04270650365172822,2,3,0,3.25,10.0,0
E11-E38_231,0.25584125135714664,2,3,1,3.25,10.0,25
E11-E38_232,0.2296816300891293,2,3,2,3.25,10.0,50
E11-E38_233,0.2793239015901917,2,3,3,3.25,10.0,100
E11-E38_300,0.017985296466286677,3,0,0,13.0,0.0,0
E11-E38_301,0.022384147540563927,3,0,1,13.0,0.0,25
E11-E38_302,0.023330807674670627,3,0,2,13.0,0.0,50
E11-E38_303,0.02463065965522218,3,0,3,13.0,0.0,100
E11-E38_310,0.022403230947227914,3,1,0,13.0,2.5,0
E11-E38_311,0.03815714730988371,3,1,1,13.0,2.5,25
E11-E38_312,0.03188018724992298,3,1,2,13.0,2.5,50
E11-E38_313,0.04867130030049479,3,1,3,13.0,2.5,100
E11-E38_320,0.03210450996671486,3,2,0,13.0,5.0,0
E11-E38_321,0.10208960724460986,3,2,1,13.0,5.0,25
E11-E38_322,0.09535141218891818,3,2,2,13.0,5.0,50
E11-E38_323,0.16062462058595012,3,2,3,13.0,5.0,100
E11-E38_330,0.03732054623141676,3,3,0,13.0,10.0,0
E11-E38_331,0.2769320345937077,3,3,1,13.0,10.0,25
E11-E38_332,0.25272311037783507,3,3,2,13.0,10.0,50
E11-E38_333,0.1964380189623234,3,3,3,13.0,10.0,100
