e38-e20,e38-e11,e11-e38
0.021429634,0.000202983,0.02046989
0.076854855,0.000468727,0.022626186
0.06189006,0.000562478,0.023927568
0.078630242,0.00087181,0.025233478
0.061999012,0.000117524,0.039100367
0.122281657,0.000585211,0.178607067
0.11599139,0.001036371,0.246520947
0.149297379,0.000965761,0.318131138
0.081888181,0.000172596,0.038931388
0.149665976,0.000401725,0.174782844
0.139253034,0.001428104,0.245327457
0.164011056,0.001640055,0.320774294
0.059113053,2.20E-05,0.041584363
0.102864028,0.001474353,0.187183199
0.108676943,0.001546929,0.278510087
0.143060679,0.001216184,0.329778839
0.032922295,0.000230814,0.020128584
0.079240411,0.001071603,0.023992705
0.08848111,0.001069848,0.02572865
0.106261841,0.001437794,0.0284069
0.177609184,0.003398734,0.04944906
0.642829253,0.01212245,0.273041287
0.768833052,0.003675116,0.410213579
1.527711326,0.003838796,0.383213335
0.350843353,0.003679236,0.070231053
0.943587936,0.053151209,0.412185072
1.125305799,0.14155453,0.407330255
1.640402862,0.029201365,0.434923937
0.202664215,0.003277236,0.07341338
0.648630891,0.217883011,0.429460714
0.89476953,0.206234761,0.500775584
1.570937167,0.196126584,0.498008601
0.045316971,0.000237138,0.018180431
0.101977861,0.002096685,0.02140372
0.121787525,0.002319062,0.024176956
0.154802506,0.002505263,0.025976291
0.244072771,0.004274674,0.033331167
0.869194144,0.006171325,0.096461976
1.262980173,0.005111346,0.13127012
1.974154214,0.007149832,0.115509117
0.501606899,0.005175013,0.035407025
1.191228919,0.569566276,0.11182341
1.553683262,0.098462401,0.232175145
2.09449082,0.021518722,0.103073573
0.258743462,0.005895826,0.042706504
0.874912354,0.503457552,0.255841251
1.29758716,0.46626261,0.22968163
2.036409865,0.577089465,0.279323902
0.0390673,5.31E-06,0.017985296
0.084765731,0.003091747,0.022384148
0.106110339,0.003084533,0.023330808
0.136658232,0.003310038,0.02463066
0.223369373,0.005481168,0.022403231
0.779037434,0.045446716,0.038157147
1.231117069,0.642310935,0.031880187
1.936569732,0.025664907,0.0486713
0.419513558,0.005665316,0.03210451
1.128247491,0.042718414,0.102089607
1.532626613,0.569222562,0.095351412
2.101320226,0.411848428,0.160624621
0.260399339,0.007745753,0.037320546
0.85638915,0.681001069,0.276932035
1.384702248,0.719693076,0.25272311
2.004106413,0.556609805,0.196438019
