Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,241,0,241,0,241,0,241
A01,Sample X1,A,1.288,1.208,4358,4293,2263,2247,1109,1088
A02,Sample X2,A,1.27,1.232,5003,4980,2610,2587,1279,1256
A03,Sample X3,A,1.255,1.198,5056,5057,2634,2622,1296,1274
A04,Sample X4,A,1.232,1.191,5172,5138,2700,2668,1320,1294
A05,Sample X5,A,1.206,1.147,5152,5103,2721,2655,1314,1294
A06,Sample X6,A,1.204,1.127,5204,5184,2710,2693,1318,1299
A07,Sample X7,A,1.252,1.185,3713,3723,1931,1922,945,932
A08,Sample X8,A,1.195,1.123,3653,3631,1895,1886,925,907
A09,Sample X9,A,1.174,1.112,3607,3542,1869,1875,910,898
A10,Sample X10,A,1.154,1.094,3561,3514,1846,1837,896,897
A11,Sample X11,A,1.162,1.117,3559,3551,1866,1848,902,887
A12,Sample X12,A,1.173,1.019,3581,3546,1863,1856,903,889
B01,Sample X13,A,1.412,1.315,5879,5757,3061,2982,1491,1457
B02,Sample X14,A,1.397,1.401,12609,12368,6523,6404,3184,3118
B03,Sample X15,A,1.383,1.394,13671,13509,7096,7013,3425,3394
B04,Sample X16,A,1.346,1.357,13650,13550,7028,7029,3382,3390
B05,Sample X17,A,1.316,1.327,13457,13209,6986,6891,3377,3338
B06,Sample X18,A,1.308,1.337,13811,13626,7176,7084,3475,3434
B07,Sample X19,A,1.388,1.391,3821,3820,1991,1989,962,959
B08,Sample X20,A,1.348,1.363,3830,3832,1993,1975,962,959
B09,Sample X21,A,1.318,1.319,3802,3782,1971,1951,955,951
B10,Sample X22,A,1.272,1.276,3740,3734,1947,1940,944,945
B11,Sample X23,A,1.244,1.262,3714,3697,1939,1915,944,938
B12,Sample X24,A,1.184,1.087,3703,3662,1909,1889,932,919
C01,Sample X25,A,1.345,1.304,6186,6056,3204,3153,1564,1538
C02,Sample X26,A,1.337,1.326,35842,35646,18602,18474,8975,8952
C03,Sample X27,A,1.318,1.322,40062,40003,20798,20761,10065,10012
C04,Sample X28,A,1.172,1.153,25122,26590,12920,13689,6171,6517
