Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,3 min 54 s,7 min 50 s,0 min ,3 min 54 s,7 min 50 s,0 min ,3 min 54 s,7 min 50 s,0 min ,3 min 54 s,7 min 50 s
A01,Sample X1,A,1.283,1.28,1.274,10969,11184,11213,5712,5780,5813,2757,2819,2837
A02,Sample X2,A,1.244,1.234,1.26,10932,11118,11178,5659,5731,5792,2761,2794,2821
A03,Sample X3,A,1.229,1.22,1.233,10979,11111,11234,5704,5739,5814,2775,2788,2826
A04,Sample X4,A,1.213,1.202,1.229,11007,11193,11283,5730,5785,5853,2784,2808,2830
A05,Sample X5,A,1.198,1.198,1.23,10978,11182,11247,5702,5808,5829,2767,2820,2832
A06,Sample X6,A,1.187,1.178,1.208,11024,11126,11199,5707,5754,5835,2766,2795,2826
A07,Sample X7,A,1.348,1.353,1.379,11165,11431,11493,5830,5891,5990,2839,2861,2891
A08,Sample X8,A,1.313,1.314,1.333,15608,16129,16377,8067,8296,8454,3914,4004,4091
A09,Sample X9,A,1.301,1.314,1.322,19284,19921,20428,9945,10297,10553,4813,4977,5075
A10,Sample X10,A,1.278,1.296,1.312,22437,23234,23859,11545,11983,12266,5547,5762,5940
A11,Sample X11,A,1.258,1.298,1.31,25048,25998,26670,12796,13411,13754,6146,6470,6629
A12,Sample X12,A,1.242,1.278,1.274,26051,27103,27838,13343,14010,14433,6422,6754,6938
B01,Sample X13,A,1.36,1.368,1.388,11211,11336,11426,5769,5882,5886,2807,2841,2873
B02,Sample X14,A,1.352,1.361,1.356,11097,11289,11366,5743,5855,5907,2796,2805,2851
B03,Sample X15,A,1.32,1.306,1.32,11157,11224,11379,5766,5864,5927,2798,2821,2858
B04,Sample X16,A,1.337,1.301,1.316,11216,11352,11474,5802,5927,5938,2818,2840,2877
B05,Sample X17,A,1.301,1.275,1.28,11191,11362,11406,5788,5851,5914,2808,2843,2873
B06,Sample X18,A,1.299,1.267,1.281,11158,11367,11479,5772,5910,5942,2823,2848,2892
B07,Sample X19,A,1.454,1.418,1.427,12334,12576,12649,6414,6487,6571,3104,3145,3179
B08,Sample X20,A,1.162,1.133,1.155,66805,69989,72554,34278,36175,37544,16505,17319,17977
B09,Sample X21,A,1.38,1.35,1.371,120167,126281,130343,61776,64983,67513,29761,31303,32585
B10,Sample X22,A,1.001,0.974,0.986,84082,88412,92208,43180,45722,47702,20678,21787,22799
B11,Sample X23,A,1.387,1.357,1.356,159516,167218,173369,82499,86732,90272,39669,41804,43478
B12,Sample X24,A,1.244,1.287,1.288,173681,181745,187797,89534,94331,97416,43165,45425,47036
C01,Sample X25,A,1.38,1.414,1.424,11059,11221,11342,5721,5849,5883,2780,2826,2845
C02,Sample X26,A,1.356,1.354,1.37,11370,11523,11562,5849,5979,6004,2834,2883,2916
C03,Sample X27,A,1.362,1.374,1.382,11940,12127,12322,6182,6290,6343,2985,3040,3081
C04,Sample X28,A,1.335,1.329,1.329,12087,12357,12538,6297,6389,6456,3060,3088,3148
C05,Sample X29,A,1.334,1.324,1.336,12499,12680,12854,6463,6593,6665,3140,3177,3232
C06,Sample X30,A,1.322,1.295,1.303,12687,12939,13083,6539,6700,6795,3172,3241,3291
C07,Sample X31,A,1.476,1.446,1.465,15032,15308,15575,7703,7903,8054,3754,3840,3907
C08,Sample X32,A,1.439,1.412,1.429,186480,195182,201581,96256,101455,104224,46721,49096,50852
C09,Sample X33,A,1.436,1.409,1.43,236251,247085,254892,122790,128617,132280,59680,62421,64532
C10,Sample X34,A,1.383,1.373,1.386,256464,260000,260000,132723,139183,143767,64852,67770,70087
C11,Sample X35,A,1.402,1.374,1.37,260000,260000,260000,142382,149428,153633,69613,72491,74851
C12,Sample X36,A,1.302,1.327,1.335,260000,260000,260000,152940,159193,163768,74251,77501,80126
D01,Sample X37,A,1.405,1.429,1.436,11082,11273,11381,5731,5808,5860,2789,2825,2836
D02,Sample X38,A,1.382,1.376,1.365,13029,13222,13442,6694,6890,6963,3264,3302,3356
D03,Sample X39,A,1.376,1.36,1.361,14982,15251,15584,7725,7908,8040,3742,3818,3887
D04,Sample X40,A,1.341,1.329,1.335,17043,17495,17809,8819,8999,9214,4251,4352,4464
D05,Sample X41,A,1.306,1.306,1.296,18139,18778,19139,9379,9668,9901,4538,4685,4769
D06,Sample X42,A,1.277,1.267,1.282,17622,18064,18485,9085,9373,9566,4387,4532,4598
D07,Sample X43,A,1.453,1.441,1.45,15590,15939,16308,8066,8247,8405,3892,3980,4064
D08,Sample X44,A,1.303,1.282,1.292,171665,178374,184633,88666,92529,95241,42892,44806,46368
D09,Sample X45,A,1.428,1.39,1.413,260000,260000,260000,137199,143065,147191,66677,69270,71591
D10,Sample X46,A,1.312,1.312,1.296,258258,260000,260000,134141,140261,144345,65523,68050,70475
D11,Sample X47,A,1.393,1.374,1.376,260000,260000,260000,155609,162169,166673,75578,78746,81558
D12,Sample X48,A,1.293,1.347,1.341,260000,260000,260000,160722,167846,171917,77880,81514,83839
E01,Sample X49,A,1.396,1.413,1.435,11079,11240,11302,5727,5795,5869,2779,2812,2831
E02,Sample X50,A,1.368,1.376,1.373,15837,16209,16468,8194,8391,8556,3973,4053,4136
E03,Sample X51,A,1.342,1.343,1.339,16548,17053,17458,8594,8851,8991,4156,4263,4326
E04,Sample X52,A,1.336,1.325,1.317,28032,28872,29629,14413,14886,15347,6953,7179,7405
E05,Sample X53,A,1.317,1.304,1.306,27678,28492,29221,14152,14642,15084,6865,7099,7294
E06,Sample X54,A,1.268,1.258,1.26,27244,28122,28869,13996,14498,14874,6751,6976,7180
E07,Sample X55,A,1.437,1.423,1.427,15699,16067,16286,8101,8281,8453,3928,4000,4082
E08,Sample X56,A,1.406,1.392,1.394,212647,220765,227775,110328,114713,118640,53657,55599,57322
E09,Sample X57,A,1.396,1.394,1.401,257153,260000,260000,134198,139002,143594,65222,67592,69690
E10,Sample X58,A,1.336,1.335,1.333,260000,260000,260000,142749,147847,153173,69466,71871,74279
E11,Sample X59,A,1.37,1.378,1.388,260000,260000,260000,153190,159114,163778,74740,77325,79996
E12,Sample X60,A,1.236,1.311,1.308,260000,260000,260000,150898,156874,161889,73229,76016,78753
F01,Sample X61,A,1.406,1.423,1.391,11188,11259,11350,5802,5856,5882,2801,2831,2855
F02,Sample X62,A,1.367,1.357,1.354,47229,48470,49787,24250,25110,25691,11718,12117,12452
F03,Sample X63,A,1.33,1.334,1.32,48349,49637,51006,24790,25646,26260,11995,12368,12767
F04,Sample X64,A,1.307,1.31,1.318,83192,85781,88332,42757,44183,45591,20663,21319,22052
F05,Sample X65,A,1.282,1.283,1.285,28725,29593,30253,14762,15198,15607,7146,7352,7526
F06,Sample X66,A,1.256,1.266,1.268,63548,65677,67351,32824,33757,34800,15805,16447,16782
F07,Sample X67,A,1.466,1.469,1.466,16633,17023,17305,8618,8796,8926,4150,4229,4351
F08,Sample X68,A,1.423,1.416,1.42,234510,240739,248470,121675,125887,128994,59229,61086,62878
F09,Sample X69,A,1.385,1.392,1.381,260000,260000,260000,146592,151440,155339,71384,73678,75856
F10,Sample X70,A,1.363,1.374,1.389,260000,260000,260000,159306,164714,169650,77564,80442,82643
F11,Sample X71,A,1.353,1.374,1.366,260000,260000,260000,162112,167583,171872,78870,81702,84056
F12,Sample X72,A,1.284,1.362,1.364,260000,260000,260000,162838,168539,173292,78933,82307,84765
H03,Blank B,A,0.054,0.052,0.051,9125,9210,9223,4734,4765,4820,2295,2309,2317
H04,Blank B,A,0.054,0.051,0.051,9091,9209,9182,4720,4737,4752,2276,2293,2305
H05,Negative control N,A,0.054,0.051,0.05,9209,9247,9271,4733,4794,4811,2302,2323,2325
H06,Negative control N,A,0.053,0.052,0.05,9022,9091,9156,4682,4714,4738,2274,2275,2298
H07,Blank B,B,0.055,0.054,0.052,8929,9045,9072,4606,4666,4697,2243,2258,2268
H08,Blank B,B,0.053,0.051,0.05,9056,9181,9139,4648,4724,4776,2265,2293,2291
H09,Negative control N,B,0.053,0.05,0.049,8977,9119,9150,4659,4696,4739,2266,2287,2290
H10,Negative control N,B,0.053,0.057,0.056,9066,9111,9154,4667,4697,4746,2258,2283,2298
H11,Positive control P,B,0.052,0.05,0.048,8989,9074,9134,4659,4728,4743,2269,2281,2287
H12,Positive control P,B,0.054,0.053,0.052,8918,9035,9074,4622,4679,4710,2258,2259,2264
