Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.294,1.302,3546,3604,1837,1865,906,904
A02,Sample X2,A,1.301,1.319,3522,3537,1817,1832,897,893
A03,Sample X3,A,1.253,1.254,3452,3491,1794,1800,872,879
A04,Sample X4,A,1.249,1.289,3464,3463,1781,1785,867,869
A05,Sample X5,A,1.19,1.251,3370,3389,1737,1762,844,857
A06,Sample X6,A,1.146,1.194,3305,3337,1724,1739,831,835
A07,Sample X7,A,1.419,1.43,3598,3647,1888,1883,915,916
A08,Sample X8,A,1.378,1.406,3592,3580,1862,1873,900,911
A09,Sample X9,A,1.338,1.351,3512,3522,1818,1844,886,890
A10,Sample X10,A,1.305,1.342,3447,3444,1777,1813,866,872
A11,Sample X11,A,1.302,1.332,3439,3433,1773,1799,864,867
A12,Sample X12,A,1.263,1.279,3409,3424,1775,1788,866,862
B01,Sample X13,A,1.372,1.377,3615,3616,1872,1869,907,914
B02,Sample X14,A,1.372,1.358,3588,3616,1845,1877,900,903
B03,Sample X15,A,1.368,1.352,3539,3537,1821,1851,884,893
B04,Sample X16,A,1.344,1.333,3464,3527,1805,1820,879,881
B05,Sample X17,A,1.33,1.309,3415,3449,1787,1786,868,871
B06,Sample X18,A,1.283,1.286,3338,3412,1756,1755,851,855
B07,Sample X19,A,1.439,1.432,3567,3615,1853,1869,901,912
B08,Sample X20,A,1.405,1.403,3542,3567,1823,1841,882,892
B09,Sample X21,A,1.357,1.369,3469,3460,1779,1807,869,877
B10,Sample X22,A,1.346,1.342,3432,3474,1773,1791,864,869
B11,Sample X23,A,1.3,1.337,3398,3392,1763,1775,849,859
B12,Sample X24,A,1.218,1.231,3342,3363,1746,1751,840,845
C01,Sample X25,A,1.326,1.343,3525,3547,1834,1828,898,890
C02,Sample X26,A,1.348,1.38,3503,3541,1821,1835,882,893
C03,Sample X27,A,1.367,1.36,3478,3477,1777,1808,868,872
C04,Sample X28,A,1.345,1.333,3382,3431,1762,1782,855,860
C05,Sample X29,A,1.292,1.257,3347,3355,1735,1745,846,852
C06,Sample X30,A,1.272,1.222,3307,3337,1731,1715,837,846
C07,Sample X31,A,1.45,1.422,3520,3573,1848,1867,888,906
C08,Sample X32,A,1.409,1.375,3508,3512,1807,1824,890,886
C09,Sample X33,A,1.388,1.336,3463,3481,1808,1807,876,871
C10,Sample X34,A,1.348,1.321,3381,3413,1774,1772,851,860
C11,Sample X35,A,1.3,1.3,3346,3382,1744,1759,846,853
C12,Sample X36,A,1.218,1.235,3327,3338,1733,1744,840,845
