gate1,gate2
A23,A31
A53,A90
A116,A154
A8,A39
A64,A79
A154,A173
A153,A179
A83,A110
A135,A101
A112,A142
A32,A69
A105,A5
A24,A37
A70,A102
A136,A20
A82,A115
A143,A190
A226,A236
A261,A298
