Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.247,1.169,3747,3751,1949,1948,949,944
A02,Sample X2,A,1.21,1.244,3842,3816,1983,1990,964,962
A03,Sample X3,A,1.16,1.224,3788,3774,1972,1978,957,949
A04,Sample X4,A,1.13,1.193,3781,3769,1954,1959,949,942
A05,Sample X5,A,1.113,1.178,3758,3731,1933,1947,946,942
A06,Sample X6,A,1.061,1.162,3667,3687,1922,1912,928,921
A07,Sample X7,A,1.173,1.225,3733,3749,1931,1935,944,948
A08,Sample X8,A,1.12,1.154,3732,3749,1938,1931,933,938
A09,Sample X9,A,1.118,1.134,3691,3717,1929,1920,927,930
A10,Sample X10,A,1.09,1.111,3693,3700,1906,1908,923,928
A11,Sample X11,A,1.08,1.105,3647,3642,1886,1880,925,919
A12,Sample X12,A,1.082,1.082,3696,3654,1928,1897,927,924
B01,Sample X13,A,1.262,1.259,3890,3899,2017,2007,985,979
B02,Sample X14,A,1.216,1.223,3957,3940,2042,2055,994,1004
B03,Sample X15,A,1.203,1.218,3902,3891,2014,2031,975,984
B04,Sample X16,A,1.154,1.177,3851,3879,1997,2004,967,977
B05,Sample X17,A,1.137,1.169,3817,3849,1980,1998,970,967
B06,Sample X18,A,1.108,1.15,3730,3757,1934,1942,945,944
B07,Sample X19,A,1.235,1.223,3870,3890,1986,2013,972,966
B08,Sample X20,A,1.202,1.191,4046,4048,2094,2113,1025,1026
B09,Sample X21,A,1.164,1.177,4038,4043,2098,2112,1020,1026
B10,Sample X22,A,1.134,1.13,4014,4057,2083,2089,1018,1010
B11,Sample X23,A,1.111,1.124,4049,4087,2098,2104,1028,1028
B12,Sample X24,A,1.098,1.091,4208,4230,2198,2207,1068,1068
C01,Sample X25,A,1.223,1.215,3932,3940,2040,2046,991,997
C02,Sample X26,A,1.256,1.272,4548,4575,2347,2361,1139,1146
C03,Sample X27,A,1.272,1.285,4484,4531,2328,2346,1124,1142
C04,Sample X28,A,1.223,1.221,4402,4408,2275,2288,1094,1107
C05,Sample X29,A,1.082,1.08,3869,3909,1997,2033,966,974
C06,Sample X30,A,1.189,1.17,4282,4288,2208,2233,1075,1088
C07,Sample X31,A,1.282,1.264,4002,4011,2069,2088,1002,1010
C08,Sample X32,A,1.236,1.229,5260,5386,2757,2766,1321,1343
C09,Sample X33,A,1.213,1.208,5628,5676,2915,2936,1405,1425
C10,Sample X34,A,1.183,1.213,5725,5758,2943,2986,1428,1451
C11,Sample X35,A,1.137,1.154,5885,5942,3029,3072,1470,1488
C12,Sample X36,A,1.143,1.126,7308,7283,3784,3785,1837,1827
D01,Sample X37,A,1.335,1.31,4187,4176,2159,2171,1048,1049
D02,Sample X38,A,1.274,1.286,8233,8326,4269,4302,2060,2087
D03,Sample X39,A,1.301,1.286,8914,9140,4596,4695,2239,2283
D04,Sample X40,A,1.272,1.279,8646,8751,4469,4537,2184,2201
D05,Sample X41,A,1.258,1.234,8697,8844,4508,4599,2187,2202
D06,Sample X42,A,1.236,1.225,8641,8759,4475,4515,2175,2193
D07,Sample X43,A,1.31,1.271,4130,4160,2149,2162,1043,1047
D08,Sample X44,A,1.284,1.255,10596,10816,5495,5624,2663,2713
D09,Sample X45,A,1.226,1.23,13247,13497,6838,6970,3307,3361
D10,Sample X46,A,1.168,1.182,15133,15346,7792,7951,3764,3842
D11,Sample X47,A,1.125,1.096,15634,15741,8064,8193,3903,3931
D12,Sample X48,A,1.108,1.104,19788,19610,10224,10202,4940,4930
E01,Sample X49,A,1.351,1.319,4402,4394,2280,2286,1108,1109
E02,Sample X50,A,1.127,1.137,15736,17353,7979,8827,3781,4206
E03,Sample X51,A,1.283,1.294,29757,30186,15331,15579,7454,7566
E04,Sample X52,A,1.29,1.317,30976,31353,16105,16312,7837,7935
E05,Sample X53,A,1.261,1.277,31631,32051,16398,16629,8006,8095
E06,Sample X54,A,1.256,1.27,30978,31424,16162,16318,7864,7892
E07,Sample X55,A,1.32,1.281,4308,4330,2233,2250,1089,1089
