Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,241,0,241,0,241,0,241
A01,Sample X1,A,1.416,1.404,6226,6317,3243,3275,1571,1596
A02,Sample X2,A,1.269,1.311,24300,24662,12609,12823,6100,6177
A03,Sample X3,A,1.229,1.285,26618,27060,13778,14063,6621,6800
A04,Sample X4,A,1.197,1.258,27169,27663,14025,14414,6770,6957
A05,Sample X5,A,1.211,1.27,27625,28123,14303,14610,6873,7066
A06,Sample X6,A,1.192,1.259,26735,27159,13879,14119,6646,6789
A07,Sample X7,A,1.287,1.304,4005,4087,2079,2105,1015,1019
A08,Sample X8,A,1.255,1.304,4799,4812,2484,2509,1205,1215
A09,Sample X9,A,1.233,1.292,5270,5337,2727,2744,1321,1327
A10,Sample X10,A,1.234,1.296,5573,5623,2870,2903,1389,1405
A11,Sample X11,A,1.224,1.249,5838,5851,3012,3030,1461,1472
A12,Sample X12,A,1.158,1.171,6005,5955,3094,3094,1511,1501
B01,Sample X13,A,1.282,1.316,6016,6034,3106,3144,1504,1528
B02,Sample X14,A,1.266,1.275,27888,28626,14330,14762,6883,7138
B03,Sample X15,A,1.248,1.231,32125,33073,16530,17075,7902,8232
B04,Sample X16,A,1.219,1.213,33504,34399,17192,17881,8227,8559
B05,Sample X17,A,1.194,1.203,33861,34816,17315,17880,8328,8626
B06,Sample X18,A,1.149,1.169,30464,31472,15695,16278,7454,7809
B07,Sample X19,A,1.284,1.308,3902,3973,2025,2051,982,999
B08,Sample X20,A,1.228,1.254,5829,5908,2985,3052,1445,1473
B09,Sample X21,A,1.198,1.228,7107,7225,3648,3732,1775,1807
B10,Sample X22,A,1.184,1.214,7913,8071,4073,4154,1966,2013
B11,Sample X23,A,1.158,1.208,8562,8674,4430,4540,2136,2183
B12,Sample X24,A,1.098,1.132,9376,9380,4847,4886,2341,2351
C01,Sample X25,A,1.32,1.3,6257,6313,3225,3266,1556,1583
C02,Sample X26,A,1.316,1.325,50704,52282,26088,27031,12611,13038
C03,Sample X27,A,1.318,1.3,63267,65148,32726,33735,15839,16262
C04,Sample X28,A,1.276,1.223,66874,68993,34520,35642,16730,17174
C05,Sample X29,A,1.207,1.215,65390,67516,33891,35010,16459,16914
C06,Sample X30,A,1.235,1.206,67596,69905,35299,36146,17018,17450
C07,Sample X31,A,1.324,1.308,4043,4143,2085,2122,1017,1029
C08,Sample X32,A,1.298,1.278,14065,14477,7246,7441,3500,3597
C09,Sample X33,A,1.272,1.263,19539,20063,10100,10373,4894,4994
C10,Sample X34,A,1.244,1.246,23878,24499,12247,12691,5969,6095
C11,Sample X35,A,1.166,1.233,25252,26056,13065,13412,6304,6479
C12,Sample X36,A,1.131,1.165,28792,28963,14858,15010,7155,7228
D01,Sample X37,A,1.183,1.169,5605,5793,2896,2981,1400,1435
D02,Sample X38,A,1.258,1.267,82030,84645,42244,43912,20436,21198
D03,Sample X39,A,1.24,1.216,123176,127195,63688,65870,30865,31826
D04,Sample X40,A,1.204,1.147,137040,141354,71469,73481,34752,35502
D05,Sample X41,A,1.202,1.176,143213,147491,74367,76600,36189,36962
D06,Sample X42,A,1.169,1.15,145997,150406,76025,78335,36926,37777
D07,Sample X43,A,1.331,1.278,4328,4423,2243,2274,1091,1110
D08,Sample X44,A,1.271,1.25,41591,42999,21385,22198,10311,10708
D09,Sample X45,A,1.255,1.252,63602,65235,32764,33681,15877,16284
D10,Sample X46,A,1.228,1.213,76458,78883,39735,40812,19175,19589
D11,Sample X47,A,1.15,1.187,85407,87032,43920,45144,21242,21744
D12,Sample X48,A,1.092,1.135,94376,95290,48942,49350,23642,23915
E01,Sample X49,A,1.267,1.274,6036,6122,3132,3184,1516,1545
E02,Sample X50,A,1.243,1.246,90219,92636,46728,47966,22602,23264
E03,Sample X51,A,1.212,1.214,144919,148421,75314,77303,36538,37424
E04,Sample X52,A,1.155,1.187,172005,176377,89511,91747,43567,44633
E05,Sample X53,A,1.147,1.149,184398,189383,96080,98383,46840,47869
E06,Sample X54,A,1.119,1.14,189588,194633,98667,101473,48099,49271
E07,Sample X55,A,1.302,1.278,4502,4565,2345,2373,1131,1142
E08,Sample X56,A,1.241,1.226,56088,57269,28905,29592,14029,14291
E09,Sample X57,A,1.228,1.222,94407,96357,48513,49886,23531,24130
E10,Sample X58,A,1.194,1.211,115779,118451,59688,61241,29012,29524
E11,Sample X59,A,1.144,1.191,128122,130373,66089,67808,31909,32750
E12,Sample X60,A,1.085,1.125,136901,137339,70788,71532,34292,34492
F01,Sample X61,A,1.294,1.286,6295,6337,3252,3292,1572,1599
F02,Sample X62,A,1.263,1.254,97839,98919,50518,51434,24509,24829
F03,Sample X63,A,1.225,1.224,153602,156361,80154,81240,38791,39355
F04,Sample X64,A,1.195,1.179,180032,182735,93606,95095,45401,46107
F05,Sample X65,A,1.169,1.162,194418,197435,101775,103056,49303,49848
F06,Sample X66,A,1.16,1.161,198835,201679,103517,104978,50412,51133
F07,Sample X67,A,1.307,1.3,4556,4609,2351,2382,1142,1158
F08,Sample X68,A,1.242,1.244,58294,59344,30217,30718,14591,14837
F09,Sample X69,A,1.192,1.196,91253,92397,47004,47884,22869,23185
F10,Sample X70,A,1.149,1.16,111388,113056,57681,58654,27844,28294
F11,Sample X71,A,1.141,1.147,131969,133312,68235,69734,33143,33551
F12,Sample X72,A,1.102,1.119,138564,138555,72006,71832,34928,34942
H03,Blank B,A,0.05,0.049,2105,2104,1090,1090,534,528
H04,Blank B,A,0.05,0.048,2085,2091,1074,1082,528,524
H05,Negative control N,A,1.587,1.576,4047,4063,2094,2105,1027,1022
H06,Negative control N,A,1.567,1.585,4046,4078,2087,2113,1017,1023
H07,Blank B,B,0.051,0.05,2054,2059,1067,1069,519,521
H08,Blank B,B,0.051,0.049,2050,2045,1081,1061,524,522
H09,Negative control N,B,1.759,1.741,4898,4927,2538,2551,1230,1238
H10,Negative control N,B,1.688,1.706,4830,4843,2498,2514,1225,1224
H11,Positive control P,B,1.78,1.797,99584,98758,51956,51458,25206,24955
H12,Positive control P,B,1.829,1.946,104477,102454,54460,53198,26492,25885
