Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,241,0,241,0,241,0,241
A01,Sample X1,A,1.418,1.369,3413,3458,1774,1790,862,869
A02,Sample X2,A,1.374,1.347,3383,3386,1738,1782,844,861
A03,Sample X3,A,1.386,1.342,3341,3415,1754,1756,849,852
A04,Sample X4,A,1.358,1.31,3335,3388,1733,1746,838,855
A05,Sample X5,A,1.349,1.312,3284,3350,1707,1733,832,840
A06,Sample X6,A,1.324,1.262,3310,3326,1712,1744,827,839
A07,Sample X7,A,1.445,1.388,3444,3507,1796,1816,866,885
A08,Sample X8,A,1.414,1.367,3403,3441,1779,1793,850,867
A09,Sample X9,A,1.378,1.32,3349,3386,1736,1764,837,855
A10,Sample X10,A,1.361,1.29,3305,3348,1723,1742,831,848
A11,Sample X11,A,1.356,1.29,3288,3332,1702,1739,824,834
A12,Sample X12,A,1.306,1.252,3232,3293,1682,1710,815,830
B01,Sample X13,A,1.411,1.41,3365,3428,1746,1775,851,864
B02,Sample X14,A,1.39,1.378,3349,3411,1734,1769,838,855
B03,Sample X15,A,1.38,1.374,3341,3395,1727,1766,839,857
B04,Sample X16,A,1.352,1.342,3309,3375,1723,1752,832,841
B05,Sample X17,A,1.342,1.318,3283,3349,1711,1737,832,846
B06,Sample X18,A,1.316,1.283,3244,3295,1697,1717,818,828
B07,Sample X19,A,1.491,1.463,3506,3524,1816,1842,881,893
B08,Sample X20,A,1.444,1.414,3418,3455,1769,1792,856,871
B09,Sample X21,A,1.423,1.389,3374,3427,1754,1763,853,862
B10,Sample X22,A,1.407,1.383,3345,3381,1731,1742,836,855
B11,Sample X23,A,1.38,1.356,3305,3376,1720,1736,832,847
B12,Sample X24,A,1.331,1.312,3281,3335,1702,1742,829,840
C01,Sample X25,A,1.386,1.387,3342,3403,1745,1777,850,855
C02,Sample X26,A,1.386,1.367,3359,3429,1766,1768,851,860
C03,Sample X27,A,1.354,1.338,3392,3452,1763,1790,853,867
C04,Sample X28,A,1.328,1.309,3404,3465,1776,1786,861,865
C05,Sample X29,A,1.308,1.301,3410,3467,1757,1797,856,875
C06,Sample X30,A,1.285,1.287,3414,3453,1761,1781,850,870
C07,Sample X31,A,1.441,1.421,3411,3456,1775,1786,862,859
C08,Sample X32,A,1.399,1.358,3357,3433,1740,1768,845,856
C09,Sample X33,A,1.346,1.333,3291,3347,1711,1727,829,834
C10,Sample X34,A,1.346,1.326,3267,3308,1690,1711,822,829
C11,Sample X35,A,1.331,1.309,3234,3277,1669,1711,819,820
C12,Sample X36,A,1.262,1.256,3219,3262,1659,1681,810,818
D01,Sample X37,A,1.417,1.401,3328,3389,1733,1760,842,852
D02,Sample X38,A,1.407,1.386,3670,3729,1898,1929,921,933
D03,Sample X39,A,1.37,1.358,4043,4101,2092,2118,1012,1034
D04,Sample X40,A,1.352,1.32,4202,4276,2180,2216,1057,1080
D05,Sample X41,A,1.317,1.277,4467,4535,2315,2334,1118,1136
D06,Sample X42,A,1.297,1.283,4481,4613,2345,2396,1131,1151
D07,Sample X43,A,1.462,1.453,3422,3473,1786,1817,871,888
D08,Sample X44,A,1.438,1.416,3390,3441,1765,1783,851,862
D09,Sample X45,A,1.402,1.392,3336,3400,1732,1764,841,852
D10,Sample X46,A,1.369,1.351,3295,3316,1698,1724,823,829
D11,Sample X47,A,1.348,1.336,3243,3322,1687,1719,818,829
D12,Sample X48,A,1.288,1.276,3235,3281,1675,1703,814,824
E01,Sample X49,A,1.528,1.509,3509,3579,1837,1851,890,896
E02,Sample X50,A,1.481,1.48,4634,4731,2409,2433,1165,1183
E03,Sample X51,A,1.435,1.428,6215,6348,3193,3287,1552,1594
E04,Sample X52,A,1.402,1.398,7416,7604,3835,3907,1860,1896
E05,Sample X53,A,1.374,1.379,8241,8482,4288,4377,2056,2112
E06,Sample X54,A,1.343,1.344,8320,8538,4310,4458,2080,2138
E07,Sample X55,A,1.511,1.523,3524,3575,1820,1843,892,890
E08,Sample X56,A,1.444,1.444,3447,3499,1786,1815,866,870
E09,Sample X57,A,1.411,1.418,3400,3418,1774,1796,854,856
E10,Sample X58,A,1.38,1.383,3356,3373,1731,1747,840,848
E11,Sample X59,A,1.358,1.366,3299,3338,1705,1736,833,837
E12,Sample X60,A,1.314,1.312,3288,3338,1710,1725,828,835
F01,Sample X61,A,1.471,1.394,3430,3475,1772,1799,866,867
F02,Sample X62,A,1.413,1.384,5157,5252,2663,2720,1289,1311
F03,Sample X63,A,1.372,1.374,6377,6513,3290,3375,1603,1629
F04,Sample X64,A,1.333,1.362,7751,7908,3983,4095,1930,1980
F05,Sample X65,A,1.297,1.338,8449,8664,4384,4495,2113,2171
F06,Sample X66,A,1.268,1.297,8789,8987,4536,4677,2179,2261
F07,Sample X67,A,1.458,1.484,3483,3510,1800,1828,870,875
F08,Sample X68,A,1.399,1.433,3388,3458,1761,1787,847,863
F09,Sample X69,A,1.367,1.405,3363,3401,1743,1761,836,856
F10,Sample X70,A,1.322,1.358,3301,3337,1702,1736,827,835
F11,Sample X71,A,1.323,1.343,3288,3311,1701,1718,824,826
F12,Sample X72,A,1.283,1.254,3239,3276,1686,1693,813,823
H03,Blank B,A,0.053,0.048,1763,1762,906,915,446,444
H04,Blank B,A,0.054,0.049,1727,1752,900,911,440,443
H05,Negative control N,A,1.589,1.617,3466,3488,1803,1814,876,881
H06,Negative control N,A,1.706,1.726,3614,3669,1872,1887,914,913
H07,Blank B,B,0.056,0.052,1764,1758,917,918,446,449
H08,Blank B,B,0.055,0.05,1768,1791,926,938,451,454
H09,Negative control N,B,1.745,1.764,4057,4125,2111,2125,1023,1029
H10,Negative control N,B,1.634,1.658,3870,3947,2015,2033,968,982
H11,Positive control P,B,1.675,1.699,75828,77212,39120,39825,18842,19325
H12,Positive control P,B,1.662,1.698,77371,78930,40086,40667,19358,19673
