Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.429,1.301,4521,4509,2351,2336,1150,1137
A02,Sample X2,A,1.376,1.395,4498,4448,2330,2311,1138,1126
A03,Sample X3,A,1.323,1.359,4372,4352,2278,2262,1102,1104
A04,Sample X4,A,1.279,1.324,4311,4328,2264,2243,1091,1095
A05,Sample X5,A,1.221,1.265,4299,4289,2253,2228,1095,1083
A06,Sample X6,A,1.267,1.266,4209,4216,2210,2193,1073,1065
A07,Sample X7,A,1.365,1.408,4323,4330,2235,2257,1094,1088
A08,Sample X8,A,1.297,1.32,4223,4220,2198,2189,1068,1069
A09,Sample X9,A,1.29,1.269,4203,4177,2170,2182,1044,1045
A10,Sample X10,A,1.222,1.208,4102,4104,2131,2140,1038,1032
A11,Sample X11,A,1.161,1.145,4037,4016,2106,2100,1007,1017
A12,Sample X12,A,1.099,1.095,3975,3971,2070,2059,1008,990
B01,Sample X13,A,1.481,1.466,4710,4675,2454,2442,1192,1184
B02,Sample X14,A,1.367,1.361,4565,4580,2371,2367,1150,1151
B03,Sample X15,A,1.365,1.358,4502,4501,2327,2339,1137,1137
B04,Sample X16,A,1.321,1.341,4448,4440,2305,2316,1121,1121
B05,Sample X17,A,1.367,1.326,4423,4398,2274,2305,1110,1103
B06,Sample X18,A,1.31,1.276,4332,4314,2234,2253,1084,1085
B07,Sample X19,A,1.448,1.459,4391,4447,2288,2299,1101,1115
B08,Sample X20,A,1.363,1.384,4339,4375,2250,2255,1087,1093
B09,Sample X21,A,1.315,1.311,4292,4316,2241,2245,1082,1075
B10,Sample X22,A,1.266,1.273,4227,4250,2183,2212,1056,1062
B11,Sample X23,A,1.211,1.209,4214,4235,2197,2182,1065,1058
B12,Sample X24,A,1.125,1.141,4135,4075,2133,2126,1032,1030
C01,Sample X25,A,1.424,1.431,4757,4727,2457,2443,1197,1184
C02,Sample X26,A,1.434,1.384,4647,4626,2382,2414,1167,1164
C03,Sample X27,A,1.448,1.439,4540,4540,2349,2373,1145,1145
C04,Sample X28,A,1.469,1.503,4467,4461,2331,2331,1140,1141
C05,Sample X29,A,1.455,1.492,4395,4434,2271,2281,1109,1111
C06,Sample X30,A,1.453,1.447,4365,4347,2278,2262,1105,1108
C07,Sample X31,A,1.474,1.482,4395,4448,2292,2303,1108,1120
C08,Sample X32,A,1.403,1.401,4343,4375,2267,2284,1096,1105
C09,Sample X33,A,1.345,1.35,4333,4334,2254,2256,1086,1089
C10,Sample X34,A,1.277,1.296,4234,4322,2212,2231,1072,1072
C11,Sample X35,A,1.208,1.235,4251,4241,2178,2209,1065,1077
C12,Sample X36,A,1.135,1.156,4680,4659,2433,2416,1184,1175
D01,Sample X37,A,1.375,1.478,5153,5114,2669,2666,1294,1296
D02,Sample X38,A,1.428,1.427,5007,4997,2583,2595,1259,1262
D03,Sample X39,A,1.556,1.532,4762,4784,2483,2504,1214,1203
D04,Sample X40,A,1.56,1.509,4659,4671,2392,2443,1171,1181
D05,Sample X41,A,1.511,1.42,4555,4579,2370,2365,1148,1155
D06,Sample X42,A,1.46,1.35,4582,4554,2354,2394,1143,1155
D07,Sample X43,A,1.494,1.489,4477,4468,2306,2341,1119,1128
D08,Sample X44,A,1.42,1.403,4660,4670,2429,2436,1184,1188
D09,Sample X45,A,1.357,1.36,5030,5087,2611,2634,1268,1285
D10,Sample X46,A,1.273,1.292,5547,5568,2876,2890,1388,1397
D11,Sample X47,A,1.206,1.231,5986,6009,3088,3118,1503,1505
D12,Sample X48,A,1.131,1.146,7122,7119,3712,3667,1789,1791
E01,Sample X49,A,1.476,1.51,6376,6336,3294,3308,1605,1595
E02,Sample X50,A,1.464,1.493,6795,6820,3517,3552,1715,1719
E03,Sample X51,A,1.54,1.513,6057,6046,3114,3142,1527,1514
E04,Sample X52,A,1.562,1.516,5615,5643,2895,2916,1424,1416
E05,Sample X53,A,1.528,1.506,5510,5592,2885,2910,1391,1402
E06,Sample X54,A,1.482,1.481,5414,5424,2787,2810,1354,1348
E07,Sample X55,A,1.554,1.507,4488,4531,2346,2349,1129,1140
E08,Sample X56,A,1.447,1.424,5267,5317,2724,2737,1328,1326
E09,Sample X57,A,1.401,1.399,6408,6441,3326,3365,1611,1623
E10,Sample X58,A,1.316,1.332,7663,7692,3948,3975,1913,1932
E11,Sample X59,A,1.243,1.264,8670,8743,4524,4533,2191,2191
E12,Sample X60,A,1.139,1.172,11473,11373,5949,5875,2881,2851
F01,Sample X61,A,1.646,1.619,6966,6918,3603,3580,1761,1743
F02,Sample X62,A,1.6,1.644,9387,9410,4881,4860,2367,2369
F03,Sample X63,A,1.603,1.604,8670,8692,4510,4500,2186,2183
F04,Sample X64,A,1.593,1.59,7715,7763,3994,4003,1942,1939
F05,Sample X65,A,1.543,1.55,7411,7389,3816,3843,1851,1867
F06,Sample X66,A,1.53,1.519,7012,7060,3647,3646,1775,1767
F07,Sample X67,A,1.621,1.654,4768,4781,2464,2480,1196,1205
F08,Sample X68,A,1.542,1.54,5977,5966,3104,3103,1509,1506
F09,Sample X69,A,1.484,1.492,8786,8749,4546,4544,2209,2210
F10,Sample X70,A,1.359,1.364,11308,11310,5866,5849,2841,2839
F11,Sample X71,A,1.31,1.311,11349,11346,5887,5878,2855,2847
F12,Sample X72,A,1.218,1.217,14884,14604,7770,7605,3748,3680
H03,Blank B,A,0.049,0.049,1936,1891,1002,979,494,475
H04,Blank B,A,0.048,0.049,1907,1886,993,978,484,479
H05,Negative control N,A,1.693,1.704,4109,4088,2137,2131,1036,1035
H06,Negative control N,A,1.538,1.582,3979,4010,2068,2068,1010,1002
H07,Blank B,B,0.05,0.049,1927,1913,998,990,488,484
H08,Blank B,B,0.048,0.048,1927,1903,1018,1003,489,483
H09,Negative control N,B,1.847,1.769,4607,4633,2399,2392,1171,1164
H10,Negative control N,B,1.809,1.759,4579,4564,2350,2362,1155,1144
H11,Positive control P,B,1.792,1.813,96677,94577,50316,49392,24406,23967
H12,Positive control P,B,1.79,1.773,92422,90116,48345,47109,23607,22768
