Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s
A01,Sample X1,A,1.002,0.991,1,4025,3973,4020,2076,2079,2079,1015,1014,1013
A02,Sample X2,A,0.968,0.99,0.981,4078,4096,4108,2139,2135,2131,1037,1042,1044
A03,Sample X3,A,0.935,0.964,0.947,4091,4080,4145,2110,2127,2153,1031,1037,1043
A04,Sample X4,A,0.93,0.961,0.949,4088,4112,4189,2138,2145,2149,1037,1041,1037
A05,Sample X5,A,0.914,0.946,0.935,4061,4078,4104,2108,2115,2118,1021,1026,1024
A06,Sample X6,A,0.915,0.942,0.921,4056,4069,4068,2098,2112,2113,1019,1012,1026
A07,Sample X7,A,1.142,1.182,1.168,4202,4214,4223,2188,2179,2192,1058,1062,1061
A08,Sample X8,A,1.11,1.15,1.136,4146,4200,4187,2154,2165,2188,1053,1061,1063
A09,Sample X9,A,1.06,1.092,1.085,4065,4091,4111,2121,2133,2136,1027,1028,1041
A10,Sample X10,A,1.04,1.07,1.066,4062,4038,4055,2091,2092,2104,1016,1021,1022
A11,Sample X11,A,1.015,1.052,1.029,3961,3968,3997,2068,2053,2066,1011,1004,1008
A12,Sample X12,A,0.98,0.983,0.987,3964,3933,3935,2041,2028,2044,997,984,991
B01,Sample X13,A,1.272,1.269,1.287,4704,4723,4716,2427,2447,2449,1184,1194,1193
B02,Sample X14,A,1.25,1.26,1.263,11724,11939,12081,6060,6137,6251,2924,2988,3016
B03,Sample X15,A,1.211,1.22,1.222,12245,12421,12512,6328,6441,6514,3053,3101,3146
B04,Sample X16,A,1.205,1.232,1.232,14303,14523,14537,7379,7484,7534,3539,3620,3658
B05,Sample X17,A,1.182,1.189,1.195,14666,14906,15102,7588,7723,7805,3649,3742,3786
B06,Sample X18,A,1.216,1.26,1.258,15317,15545,15743,7916,8052,8098,3825,3882,3932
