Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,4 min ,8 min 1 s,0 min ,4 min ,8 min 1 s,0 min ,4 min ,8 min 1 s,0 min ,4 min ,8 min 1 s
A01,Sample X1,A,1.312,1.334,1.342,4491,4534,4564,2327,2355,2388,1127,1148,1151
A02,Sample X2,A,1.311,1.357,1.328,4467,4530,4607,2321,2367,2385,1136,1144,1154
A03,Sample X3,A,1.284,1.31,1.29,4404,4477,4500,2313,2320,2346,1113,1129,1140
A04,Sample X4,A,1.258,1.295,1.277,4366,4477,4508,2274,2304,2343,1097,1113,1129
A05,Sample X5,A,1.266,1.299,1.278,4392,4460,4495,2281,2320,2353,1102,1121,1132
A06,Sample X6,A,1.222,1.247,1.245,4314,4416,4394,2238,2293,2300,1088,1101,1118
A07,Sample X7,A,1.116,1.141,1.135,3970,4016,4056,2063,2099,2123,991,1006,1020
A08,Sample X8,A,1.106,1.136,1.132,4019,4079,4141,2090,2111,2149,1015,1029,1039
A09,Sample X9,A,1.064,1.092,1.09,3982,4054,4122,2084,2103,2134,1011,1022,1027
A10,Sample X10,A,1.049,1.089,1.084,3980,4046,4089,2059,2118,2118,1007,1014,1036
A11,Sample X11,A,1.042,1.081,1.077,3999,4047,4088,2059,2108,2135,1000,1015,1032
A12,Sample X12,A,1.028,1.07,1.058,3971,4029,4045,2060,2093,2120,1001,1014,1024
B01,Sample X13,A,1.349,1.37,1.374,4561,4623,4678,2362,2397,2427,1140,1154,1178
B02,Sample X14,A,1.359,1.34,1.345,8100,8338,8521,4177,4327,4395,2014,2076,2130
B03,Sample X15,A,1.261,1.265,1.252,8222,8503,8635,4258,4370,4480,2044,2113,2161
B04,Sample X16,A,1.307,1.291,1.276,9424,9699,9896,4848,4991,5124,2340,2419,2485
B05,Sample X17,A,1.295,1.269,1.248,9694,10048,10222,4996,5185,5290,2402,2507,2575
B06,Sample X18,A,1.261,1.243,1.223,9946,10316,10524,5109,5300,5415,2480,2571,2632
B07,Sample X19,A,1.243,1.237,1.218,4085,4146,4199,2127,2148,2187,1025,1045,1056
B08,Sample X20,A,1.242,1.231,1.217,4743,4861,4856,2430,2500,2523,1178,1201,1225
B09,Sample X21,A,1.208,1.193,1.189,5075,5175,5232,2613,2668,2717,1258,1299,1323
B10,Sample X22,A,1.137,1.137,1.123,5238,5398,5476,2708,2766,2836,1311,1354,1376
B11,Sample X23,A,1.144,1.144,1.111,5446,5618,5732,2803,2896,2946,1362,1403,1432
B12,Sample X24,A,1.094,1.152,1.14,5601,5747,5842,2893,2966,3033,1396,1430,1460
C01,Sample X25,A,1.428,1.45,1.45,4835,4943,4946,2496,2549,2593,1218,1234,1243
C02,Sample X26,A,1.424,1.418,1.4,24864,25934,26457,12752,13342,13694,6149,6425,6604
C03,Sample X27,A,1.439,1.445,1.434,39829,41425,42518,20611,21413,22030,9878,10318,10614
C04,Sample X28,A,1.382,1.394,1.392,46969,48692,49999,24174,25272,25874,11639,12120,12482
C05,Sample X29,A,1.358,1.346,1.33,48608,50391,51705,25010,26111,26700,12027,12587,12928
C06,Sample X30,A,1.355,1.348,1.342,50348,52310,53647,25952,26926,27749,12427,13027,13448
C07,Sample X31,A,1.343,1.305,1.302,4202,4295,4327,2193,2225,2242,1060,1075,1090
C08,Sample X32,A,1.3,1.285,1.278,6235,6391,6516,3209,3303,3367,1553,1588,1634
C09,Sample X33,A,1.208,1.214,1.207,8703,9018,9234,4495,4660,4782,2161,2254,2307
C10,Sample X34,A,1.268,1.246,1.247,11404,11820,12090,5868,6090,6229,2820,2935,3033
C11,Sample X35,A,1.221,1.206,1.222,12564,13095,13441,6497,6753,6933,3118,3249,3341
C12,Sample X36,A,1.151,1.188,1.202,15122,15710,16135,7766,8097,8349,3739,3909,4015
D01,Sample X37,A,1.486,1.514,1.503,5024,5095,5170,2597,2646,2666,1261,1282,1304
D02,Sample X38,A,1.494,1.472,1.468,40460,41964,42828,20795,21636,22140,9995,10410,10762
D03,Sample X39,A,1.448,1.42,1.414,66417,68776,70529,34167,35598,36434,16516,17146,17730
D04,Sample X40,A,1.471,1.447,1.439,85082,88211,90438,43941,45531,46889,21115,22050,22681
D05,Sample X41,A,1.434,1.414,1.392,89549,92817,94776,46231,48086,49232,22280,23164,23877
D06,Sample X42,A,1.412,1.404,1.385,91373,94769,97103,47179,49306,50194,22769,23759,24361
D07,Sample X43,A,1.301,1.291,1.271,4163,4255,4274,2168,2212,2235,1053,1075,1083
D08,Sample X44,A,1.28,1.265,1.26,6794,6938,7104,3469,3593,3688,1692,1742,1787
D09,Sample X45,A,1.25,1.243,1.236,10568,10981,11180,5447,5691,5822,2636,2728,2823
D10,Sample X46,A,1.23,1.238,1.228,14331,14932,15275,7384,7694,7936,3546,3709,3823
D11,Sample X47,A,1.195,1.211,1.167,17597,18385,18991,9079,9503,9822,4342,4577,4733
D12,Sample X48,A,1.113,1.146,1.148,18023,18791,19237,9235,9657,9972,4431,4649,4827
E01,Sample X49,A,1.316,1.357,1.343,4519,4596,4605,2339,2369,2396,1129,1154,1166
E02,Sample X50,A,1.332,1.322,1.317,30076,31303,32138,15446,16119,16592,7473,7781,8024
E03,Sample X51,A,1.311,1.307,1.293,48960,50714,52131,25306,26198,27054,12172,12699,13089
E04,Sample X52,A,1.278,1.275,1.283,60579,62870,64506,31151,32523,33487,15030,15696,16209
E05,Sample X53,A,1.268,1.247,1.257,63914,66471,68430,32993,34478,35274,15828,16581,17130
E06,Sample X54,A,1.229,1.201,1.209,65755,68181,69667,33681,35338,36301,16226,16971,17554
E07,Sample X55,A,1.328,1.315,1.307,4254,4310,4331,2202,2235,2250,1069,1081,1095
