Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,0.912,0.948,3321,3291,1726,1725,839,828
A02,Sample X2,A,1.157,1.152,4031,3996,2089,2084,1021,1013
A03,Sample X3,A,1.149,1.18,4011,4043,2082,2085,1019,1010
A04,Sample X4,A,1.089,1.141,3914,3926,2048,2041,988,984
A05,Sample X5,A,1.089,1.144,3904,3911,2024,2037,988,984
A06,Sample X6,A,1.077,1.122,3909,3897,2015,2043,986,983
A07,Sample X7,A,1.281,1.315,4159,4167,2154,2165,1049,1052
A08,Sample X8,A,1.232,1.261,4450,4439,2307,2325,1117,1113
A09,Sample X9,A,1.226,1.237,4530,4531,2355,2361,1149,1133
A10,Sample X10,A,1.191,1.216,4591,4589,2372,2377,1157,1152
A11,Sample X11,A,1.192,1.176,4517,4531,2336,2341,1136,1135
A12,Sample X12,A,1.201,1.162,4482,4483,2350,2321,1139,1131
B01,Sample X13,A,0.998,1.023,3611,3592,1860,1876,904,905
B02,Sample X14,A,1.335,1.298,4872,4908,2520,2546,1230,1233
B03,Sample X15,A,1.301,1.283,4906,4968,2552,2585,1242,1250
B04,Sample X16,A,1.093,1.084,4110,4163,2126,2156,1019,1038
B05,Sample X17,A,1.23,1.209,4713,4763,2452,2477,1186,1182
B06,Sample X18,A,1.076,1.071,4053,4104,2101,2127,1021,1031
B07,Sample X19,A,1.341,1.345,4443,4459,2304,2323,1117,1123
B08,Sample X20,A,1.296,1.285,5801,5945,2998,3059,1444,1479
B09,Sample X21,A,1.326,1.278,7091,7238,3651,3742,1771,1790
B10,Sample X22,A,1.286,1.262,7643,7697,3968,3968,1913,1926
B11,Sample X23,A,1.294,1.253,7786,7867,4003,4060,1925,1956
B12,Sample X24,A,1.215,1.223,8103,8017,4201,4160,2044,2008
C01,Sample X25,A,1.323,1.31,4486,4478,2337,2319,1128,1136
C02,Sample X26,A,1.302,1.259,7381,7497,3809,3860,1830,1873
C03,Sample X27,A,1.286,1.285,9010,9092,4660,4697,2252,2280
C04,Sample X28,A,1.283,1.257,10164,10253,5237,5331,2532,2581
C05,Sample X29,A,1.236,1.25,9864,10005,5109,5168,2461,2496
C06,Sample X30,A,1.223,1.24,9715,9909,5033,5078,2450,2469
C07,Sample X31,A,1.38,1.376,4454,4491,2323,2312,1118,1139
C08,Sample X32,A,1.339,1.348,13718,13908,7070,7190,3404,3466
C09,Sample X33,A,1.339,1.328,21861,22250,11221,11468,5398,5528
C10,Sample X34,A,1.3,1.309,26359,26794,13568,13884,6522,6667
C11,Sample X35,A,1.261,1.285,27236,27759,14065,14320,6712,6894
C12,Sample X36,A,1.243,1.26,29800,29504,15344,15289,7378,7350
D01,Sample X37,A,1.256,1.227,4201,4243,2189,2189,1060,1061
D02,Sample X38,A,1.251,1.232,16093,16308,8266,8410,3993,4070
D03,Sample X39,A,1.121,1.103,15100,16738,7694,8503,3644,4041
D04,Sample X40,A,1.256,1.251,38316,38900,19836,20171,9614,9754
D05,Sample X41,A,1.24,1.217,40664,41119,21172,21409,10280,10347
D06,Sample X42,A,1.239,1.214,38594,39078,20047,20244,9719,9805
D07,Sample X43,A,1.334,1.309,4272,4318,2211,2241,1075,1080
D08,Sample X44,A,1.319,1.294,18627,18954,9601,9836,4655,4730
D09,Sample X45,A,1.311,1.295,42346,43324,21838,22448,10561,10794
D10,Sample X46,A,1.262,1.291,62396,63637,32239,32928,15618,15918
D11,Sample X47,A,1.148,1.183,39257,43214,19972,22040,9406,10440
D12,Sample X48,A,1.18,1.17,68798,68735,35738,35664,17214,17210
E01,Sample X49,A,1.306,1.247,4417,4365,2279,2297,1115,1117
E02,Sample X50,A,1.274,1.244,21319,21661,10988,11183,5322,5405
E03,Sample X51,A,1.301,1.278,51056,51890,26356,26880,12777,12986
E04,Sample X52,A,1.302,1.276,72038,73050,37282,37720,18129,18317
E05,Sample X53,A,1.291,1.292,79760,80728,41427,41912,20170,20333
E06,Sample X54,A,1.265,1.27,81369,82334,42352,42877,20559,20799
E07,Sample X55,A,1.409,1.396,4450,4475,2302,2326,1121,1121
E08,Sample X56,A,1.391,1.352,22483,22715,11638,11763,5585,5711
E09,Sample X57,A,1.384,1.379,52054,53112,26907,27469,13035,13257
E10,Sample X58,A,1.344,1.356,73636,74865,37892,38670,18391,18762
E11,Sample X59,A,1.273,1.273,75918,77141,39199,39888,18982,19247
E12,Sample X60,A,1.241,1.246,93414,93250,48580,48306,23529,23425
F01,Sample X61,A,1.346,1.3,4563,4562,2379,2350,1148,1146
F02,Sample X62,A,1.308,1.322,25974,26123,13407,13537,6509,6538
F03,Sample X63,A,1.302,1.311,57373,57996,29735,29877,14387,14513
F04,Sample X64,A,1.296,1.306,79646,80112,41375,41536,20112,20138
F05,Sample X65,A,1.301,1.285,89433,89938,46676,46503,22616,22569
F06,Sample X66,A,1.241,1.252,91975,92480,47892,47695,23281,23209
F07,Sample X67,A,1.396,1.402,4521,4563,2365,2365,1142,1143
F08,Sample X68,A,1.39,1.395,23670,23932,12252,12441,5937,6006
F09,Sample X69,A,1.43,1.403,55284,55923,28679,29037,13854,13940
F10,Sample X70,A,1.369,1.34,79515,80197,41348,41703,19966,20100
F11,Sample X71,A,1.294,1.266,64518,68031,33237,35008,15929,16764
F12,Sample X72,A,1.284,1.248,98862,97885,51577,50902,24924,24730
H03,Blank B,A,0.048,0.048,2172,2131,1122,1103,543,538
H04,Blank B,A,0.052,0.054,2166,2153,1130,1115,550,541
H05,Negative control N,A,1.571,1.547,4225,4221,2192,2169,1069,1055
H06,Negative control N,A,1.575,1.577,4191,4184,2187,2187,1064,1056
H07,Blank B,B,0.049,0.053,2146,2138,1117,1100,545,537
H08,Blank B,B,0.05,0.049,2130,2120,1118,1109,539,535
H09,Negative control N,B,1.789,1.749,4962,4951,2584,2577,1254,1251
H10,Negative control N,B,1.898,1.795,4940,4923,2587,2563,1240,1232
