Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s
A01,Sample X1,A,1.352,1.349,1.34,11367,11391,11441,5926,5919,5916,2879,2892,2881
A02,Sample X2,A,1.29,1.312,1.307,12985,12940,13043,6757,6731,6770,3284,3267,3284
A03,Sample X3,A,1.288,1.316,1.308,14394,14382,14524,7450,7477,7534,3622,3614,3648
A04,Sample X4,A,1.252,1.284,1.263,15705,15751,15856,8165,8172,8210,3944,3966,3997
A05,Sample X5,A,1.235,1.265,1.255,16801,16918,17044,8765,8760,8863,4249,4263,4286
A06,Sample X6,A,1.205,1.232,1.225,17225,17219,17348,8951,8946,9002,4312,4331,4342
A07,Sample X7,A,1.38,1.38,1.365,11513,11581,11593,6027,6013,6003,2916,2908,2926
A08,Sample X8,A,1.311,1.317,1.286,11521,11523,11596,6013,5950,6013,2910,2904,2911
A09,Sample X9,A,1.276,1.306,1.293,11476,11483,11513,5935,5970,5997,2916,2874,2891
A10,Sample X10,A,1.261,1.274,1.253,11407,11342,11383,5904,5908,5913,2867,2847,2864
A11,Sample X11,A,1.249,1.28,1.25,11540,11525,11496,5958,5970,5988,2915,2896,2892
A12,Sample X12,A,1.265,1.252,1.232,11512,11447,11492,5991,5963,5969,2899,2888,2872
B01,Sample X13,A,1.408,1.424,1.44,11734,11810,11744,6086,6112,6117,2960,2961,2963
B02,Sample X14,A,1.361,1.357,1.379,30436,30577,30800,15702,15789,15951,7592,7694,7705
B03,Sample X15,A,1.335,1.334,1.352,48407,48836,49287,24955,25294,25493,12012,12251,12380
B04,Sample X16,A,1.304,1.306,1.324,57419,58051,58793,29706,30045,30541,14246,14488,14699
B05,Sample X17,A,1.259,1.281,1.283,64870,65587,66474,33436,34013,34559,16131,16395,16648
B06,Sample X18,A,1.261,1.3,1.303,69662,70564,71340,36142,36532,37158,17299,17631,17928
B07,Sample X19,A,1.436,1.452,1.451,11945,11971,11969,6220,6231,6261,3001,3020,3035
B08,Sample X20,A,1.399,1.399,1.427,21823,21957,22164,11279,11392,11475,5451,5479,5544
