Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s
F01,Sample X61,A,0.946,0.921,0.908,13191,13021,12999,6855,6745,6730,3343,3288,3272
F02,Sample X62,A,0.904,0.873,0.889,109045,107826,107244,56734,56138,55616,27623,27136,26997
F03,Sample X63,A,0.917,0.882,0.878,152408,152342,151356,79652,78908,78751,38849,38430,38188
F04,Sample X64,A,0.896,0.848,0.856,170467,169441,169743,88746,88385,88278,43086,42866,42757
F05,Sample X65,A,0.932,0.89,0.89,191067,189581,189233,100153,99120,98947,48733,48063,48020
F06,Sample X66,A,0.884,0.846,0.843,183297,183291,183530,95829,95737,95506,46691,46371,46255
F07,Sample X67,A,1.547,1.44,1.453,12328,12219,12190,6401,6318,6350,3114,3096,3060
F08,Sample X68,A,1.46,1.413,1.423,84922,84504,84135,44403,43953,43783,21570,21341,21283
F09,Sample X69,A,1.434,1.398,1.403,109743,108768,108250,57248,56746,56556,27951,27494,27423
F10,Sample X70,A,1.429,1.397,1.394,123314,121820,121764,64312,63548,63232,31451,30894,30917
F11,Sample X71,A,1.392,1.396,1.36,146511,144749,144473,76314,75473,74960,37329,36793,36486
F12,Sample X72,A,1.366,1.312,1.322,157239,154400,155114,82509,80458,80092,40424,39207,38940
H03,Blank B,A,0.054,0.052,0.051,9125,9210,9223,4734,4765,4820,2295,2309,2317
H04,Blank B,A,0.054,0.051,0.051,9091,9209,9182,4720,4737,4752,2276,2293,2305
H05,Negative control N,A,1.564,1.57,1.577,11355,11292,11279,5907,5863,5867,2856,2838,2839
H06,Negative control N,A,1.552,1.552,1.556,11285,11313,11253,5855,5851,5841,2849,2833,2839
H07,Blank B,B,0.072,0.07,0.071,9601,9502,9425,4970,4929,4890,2428,2383,2380
H08,Blank B,B,0.075,0.073,0.073,9417,9350,9279,4923,4852,4816,2371,2360,2348
H09,Negative control N,B,1.718,1.715,1.721,10820,10703,10623,5617,5578,5543,2725,2688,2677
H10,Negative control N,B,1.774,1.774,1.77,10925,10820,10774,5659,5608,5590,2745,2729,2705
H11,Positive control P,B,1.826,1.843,1.848,95078,94509,93708,49450,49149,48764,23992,23878,23618
H12,Positive control P,B,1.448,1.412,1.434,71197,70263,70302,37160,36562,36257,18028,17596,17636
