Well,Content,Group,Raw Data (600 1),Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s,0 min ,4 min 1 s,8 min 1 s
A01,Sample X1,A,1.198,1.064,1.102,11178,11043,10973,5797,5787,5687,2827,2799,2791
A02,Sample X2,A,1.18,1.085,1.062,11585,11515,11369,6035,5959,5929,2930,2907,2890
A03,Sample X3,A,1.149,1.049,1.052,11793,11714,11652,6143,6080,6040,2980,2954,2940
A04,Sample X4,A,1.129,1.036,1.039,12049,11956,11893,6249,6202,6142,3047,3025,3008
A05,Sample X5,A,1.126,1.026,1.02,11944,11898,11849,6189,6198,6145,3022,3006,2991
A06,Sample X6,A,1.09,1.028,1.017,12001,11936,11890,6284,6199,6215,3034,3003,2990
A07,Sample X7,A,1.519,1.483,1.496,11022,10916,10825,5738,5669,5667,2785,2755,2738
A08,Sample X8,A,1.455,1.417,1.414,10980,10903,10819,5700,5665,5630,2779,2761,2741
A09,Sample X9,A,1.407,1.366,1.367,11032,10954,10881,5759,5695,5645,2768,2750,2738
A10,Sample X10,A,1.298,1.359,1.337,10948,10855,10790,5689,5631,5631,2773,2757,2741
A11,Sample X11,A,1.268,1.31,1.268,10941,10819,10811,5707,5673,5636,2780,2751,2729
A12,Sample X12,A,1.406,1.323,1.364,11001,10918,10887,5717,5669,5629,2785,2772,2749
B01,Sample X13,A,1.248,1.168,1.199,11560,11471,11448,6033,5959,5912,2935,2912,2883
B02,Sample X14,A,1.318,1.257,1.216,30834,30352,30296,16023,15667,15663,7749,7620,7600
B03,Sample X15,A,1.279,1.257,1.223,40428,40007,40054,21036,20778,20757,10163,10065,10089
B04,Sample X16,A,1.241,1.212,1.183,45346,45028,45255,23597,23395,23471,11405,11357,11374
B05,Sample X17,A,1.271,1.224,1.198,48132,47874,48001,24955,24835,24848,12153,12082,12044
B06,Sample X18,A,1.225,1.186,1.146,47302,47162,47344,24633,24528,24511,12003,11849,11875
B07,Sample X19,A,1.754,1.661,1.62,11343,11280,11207,5866,5860,5816,2865,2845,2836
B08,Sample X20,A,1.656,1.598,1.549,15112,15060,15013,7877,7785,7812,3838,3809,3770
B09,Sample X21,A,1.586,1.524,1.498,16833,16690,16624,8803,8686,8665,4262,4242,4223
B10,Sample X22,A,1.5,1.426,1.433,20806,20603,20588,10729,10709,10668,5246,5177,5172
B11,Sample X23,A,1.454,1.417,1.381,21777,21580,21493,11279,11193,11149,5475,5442,5392
B12,Sample X24,A,1.39,1.23,1.293,22961,22821,22723,11970,11850,11801,5817,5776,5722
