Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,241,0,241,0,241,0,241
A01,Sample X1,A,1.279,1.239,3841,3856,2025,2007,989,972
A02,Sample X2,A,1.249,1.28,3869,3887,2015,2025,981,979
A03,Sample X3,A,1.224,1.236,3841,3819,1986,1977,960,964
A04,Sample X4,A,1.205,1.213,3750,3758,1951,1943,949,946
A05,Sample X5,A,1.178,1.204,3717,3714,1927,1927,934,932
A06,Sample X6,A,1.153,1.178,3697,3683,1931,1911,937,926
A07,Sample X7,A,1.349,1.336,3706,3726,1924,1927,945,931
A08,Sample X8,A,1.299,1.285,3668,3638,1916,1900,928,927
A09,Sample X9,A,1.305,1.298,3670,3672,1899,1884,923,922
A10,Sample X10,A,1.236,1.222,3601,3613,1872,1864,908,905
A11,Sample X11,A,1.243,1.247,3575,3590,1885,1857,910,909
A12,Sample X12,A,1.214,1.196,3565,3543,1844,1827,907,889
B01,Sample X13,A,1.526,1.491,4429,4425,2305,2297,1127,1120
B02,Sample X14,A,1.455,1.436,4565,4614,2371,2382,1153,1164
B03,Sample X15,A,1.244,1.232,3992,4050,2103,2114,1011,1018
B04,Sample X16,A,1.386,1.386,4579,4603,2376,2374,1151,1161
B05,Sample X17,A,1.368,1.384,4582,4594,2376,2372,1153,1160
B06,Sample X18,A,1.34,1.326,4560,4546,2352,2355,1144,1135
B07,Sample X19,A,1.411,1.412,3835,3857,1988,2000,976,975
B08,Sample X20,A,1.385,1.372,4014,4009,2085,2088,1014,1015
B09,Sample X21,A,1.367,1.357,4026,4061,2103,2095,1026,1022
B10,Sample X22,A,1.355,1.324,4019,4017,2090,2104,1021,1013
B11,Sample X23,A,1.291,1.289,4006,4037,2101,2099,1012,1019
B12,Sample X24,A,1.255,1.272,4163,4115,2148,2146,1047,1049
C01,Sample X25,A,1.479,1.472,4779,4748,2473,2470,1205,1202
C02,Sample X26,A,1.432,1.426,6362,6390,3320,3312,1613,1605
C03,Sample X27,A,1.435,1.429,6970,7001,3613,3637,1752,1767
C04,Sample X28,A,1.352,1.364,6925,6951,3570,3597,1732,1746
C05,Sample X29,A,1.309,1.33,7162,7178,3695,3739,1801,1826
C06,Sample X30,A,1.283,1.274,6919,6927,3610,3601,1741,1749
C07,Sample X31,A,1.347,1.336,3752,3763,1949,1945,947,952
C08,Sample X32,A,1.288,1.282,5532,5604,2868,2865,1398,1400
C09,Sample X33,A,1.254,1.244,5925,6051,3088,3098,1503,1513
C10,Sample X34,A,1.185,1.206,6280,6347,3246,3285,1572,1603
C11,Sample X35,A,1.108,1.117,6571,6664,3408,3441,1659,1672
C12,Sample X36,A,1.051,1.064,6768,6763,3511,3520,1690,1707
D01,Sample X37,A,1.569,1.557,5373,5357,2790,2797,1357,1354
D02,Sample X38,A,1.522,1.535,17341,17534,8998,9082,4360,4402
D03,Sample X39,A,1.524,1.5,21575,21767,11164,11270,5401,5456
D04,Sample X40,A,1.49,1.52,20757,20810,10747,10779,5218,5229
D05,Sample X41,A,1.481,1.452,19454,19887,10024,10289,4868,4966
D06,Sample X42,A,1.456,1.427,20679,20857,10746,10787,5227,5249
D07,Sample X43,A,1.569,1.54,4385,4433,2279,2295,1105,1113
D08,Sample X44,A,1.519,1.507,15864,15978,8180,8262,3972,4016
D09,Sample X45,A,1.476,1.492,20251,20571,10481,10593,5080,5160
D10,Sample X46,A,1.558,1.562,26231,26585,13645,13769,6597,6671
D11,Sample X47,A,1.46,1.486,26210,26764,13629,13828,6592,6710
D12,Sample X48,A,1.38,1.393,26675,26533,13888,13724,6692,6630
E01,Sample X49,A,1.551,1.493,5883,5849,3040,3021,1480,1468
E02,Sample X50,A,1.464,1.48,37085,37068,19098,19200,9242,9312
E03,Sample X51,A,1.411,1.441,45409,45748,23550,23769,11348,11484
E04,Sample X52,A,1.375,1.432,47298,47725,24626,24775,11861,11956
E05,Sample X53,A,1.195,1.178,25107,27298,12867,13934,6093,6634
E06,Sample X54,A,1.352,1.337,46142,46311,23949,24043,11619,11628
E07,Sample X55,A,1.506,1.499,4398,4413,2269,2289,1108,1118
E08,Sample X56,A,1.452,1.457,22241,22317,11461,11565,5609,5600
E09,Sample X57,A,1.422,1.423,30081,30512,15522,15771,7543,7634
E10,Sample X58,A,1.14,1.135,14790,16542,7440,8392,3512,3966
E11,Sample X59,A,1.111,1.134,16416,18485,8261,9366,3936,4416
E12,Sample X60,A,1.314,1.29,37740,37653,19679,19415,9556,9449
F01,Sample X61,A,1.577,1.518,6067,6017,3152,3119,1540,1518
F02,Sample X62,A,1.504,1.504,39526,39695,20621,20610,9880,9920
F03,Sample X63,A,1.484,1.453,47896,47829,24722,24789,11978,11992
F04,Sample X64,A,1.448,1.425,53797,53486,27730,27701,13522,13486
F05,Sample X65,A,1.422,1.416,52023,51909,26968,26939,12969,13067
F06,Sample X66,A,1.365,1.368,52007,52192,27092,26900,13128,13123
F07,Sample X67,A,1.22,1.21,3681,3714,1895,1935,923,936
F08,Sample X68,A,1.39,1.411,24502,24600,12761,12694,6187,6160
F09,Sample X69,A,1.412,1.392,32556,32708,16848,16869,8194,8174
F10,Sample X70,A,1.164,1.136,16594,18683,8359,9517,3970,4514
F11,Sample X71,A,1.345,1.341,40402,40462,20901,20914,10189,10136
F12,Sample X72,A,1.218,1.206,28164,29368,14331,15121,6852,7209
H03,Blank B,A,0.043,0.042,1822,1829,957,946,466,462
H04,Blank B,A,0.043,0.043,1829,1827,944,943,462,459
H05,Negative control N,A,1.777,1.72,4058,4011,2111,2104,1028,1026
H06,Negative control N,A,1.838,1.786,4131,4133,2138,2129,1038,1036
H07,Blank B,B,0.046,0.044,1848,1848,962,963,462,467
H08,Blank B,B,0.044,0.041,1864,1840,965,965,474,463
H09,Negative control N,B,1.935,1.882,4761,4737,2455,2465,1187,1192
H10,Negative control N,B,1.866,1.815,4581,4590,2369,2390,1154,1154
H11,Positive control P,B,1.803,1.793,87798,86142,45758,44940,22253,21781
H12,Positive control P,B,1.78,1.746,88701,86340,46341,45013,22524,21902
