Well,Content,Group,Raw Data (600 1),Raw Data (600 1), Raw Data (485-12 4), Raw Data (485-12 4), Raw Data (485-12 3), Raw Data (485-12 3), Raw Data (485-12 2), Raw Data (485-12 2)
Well,Content,Group,0,240,0,240,0,240,0,240
A01,Sample X1,A,1.115,1.058,3721,3678,1951,1908,950,933
A02,Sample X2,A,1.117,1.085,3769,3711,1955,1952,954,940
A03,Sample X3,A,1.124,1.067,3728,3703,1927,1919,942,936
A04,Sample X4,A,1.096,1.032,3662,3628,1911,1894,935,920
A05,Sample X5,A,1.072,1.03,3665,3635,1896,1875,923,923
A06,Sample X6,A,1.078,1.031,3626,3637,1885,1866,925,920
A07,Sample X7,A,1.127,1.093,3898,3885,2032,2023,982,972
A08,Sample X8,A,1.117,1.076,3895,3877,2041,2016,990,978
A09,Sample X9,A,1.088,1.049,3887,3862,2019,1999,985,978
A10,Sample X10,A,1.049,1.02,3746,3712,1942,1921,950,941
A11,Sample X11,A,1.078,1.052,3857,3843,2011,1999,979,968
A12,Sample X12,A,1.071,1.004,3835,3815,2006,1979,981,962
B01,Sample X13,A,1.132,1.098,3770,3735,1973,1957,964,946
B02,Sample X14,A,1.118,1.147,3810,3787,1997,1967,968,958
B03,Sample X15,A,1.14,1.161,3852,3816,2007,1983,970,962
B04,Sample X16,A,1.116,1.138,3833,3803,1986,1977,971,960
B05,Sample X17,A,1.1,1.115,3749,3719,1949,1932,947,941
B06,Sample X18,A,1.084,1.11,3723,3672,1927,1940,943,930
B07,Sample X19,A,1.101,1.121,3869,3863,2024,2009,979,977
B08,Sample X20,A,1.065,1.099,3966,3945,2065,2038,1006,992
B09,Sample X21,A,1.05,1.096,3934,3910,2047,2037,1000,987
B10,Sample X22,A,1.02,1.054,3724,3691,1910,1935,935,930
B11,Sample X23,A,1.05,1.075,3867,3865,2016,1995,977,970
B12,Sample X24,A,1.016,0.995,3726,3686,1945,1930,950,938
C01,Sample X25,A,1.209,1.175,4054,4047,2132,2101,1032,1021
C02,Sample X26,A,1.205,1.219,4085,4071,2119,2119,1029,1031
C03,Sample X27,A,1.211,1.223,4011,3990,2077,2085,1012,1009
C04,Sample X28,A,1.214,1.245,4015,3977,2078,2070,1012,1005
C05,Sample X29,A,1.198,1.179,3920,3930,2047,2049,1001,991
C06,Sample X30,A,1.183,1.165,3948,3920,2051,2045,997,989
C07,Sample X31,A,1.23,1.205,4238,4218,2192,2185,1067,1060
C08,Sample X32,A,1.198,1.172,4222,4250,2192,2196,1069,1070
C09,Sample X33,A,1.193,1.181,4227,4191,2185,2183,1059,1066
C10,Sample X34,A,1.165,1.171,4135,4127,2134,2142,1044,1047
C11,Sample X35,A,1.176,1.19,4243,4245,2206,2193,1072,1060
C12,Sample X36,A,1.165,1.134,4758,4686,2494,2449,1203,1181
D01,Sample X37,A,1.163,1.129,3836,3820,2003,1992,976,959
D02,Sample X38,A,1.174,1.164,3877,3853,2010,2009,985,981
D03,Sample X39,A,1.113,1.1,3558,3553,1830,1853,902,890
D04,Sample X40,A,1.162,1.143,3820,3810,1993,1978,963,962
D05,Sample X41,A,1.136,1.094,3516,3520,1830,1830,891,886
D06,Sample X42,A,1.155,1.093,3967,3939,2074,2047,1001,1001
D07,Sample X43,A,1.208,1.13,4205,4176,2173,2169,1060,1058
D08,Sample X44,A,1.193,1.169,8047,7994,4168,4151,2032,2004
D09,Sample X45,A,1.166,1.147,8163,8132,4254,4236,2064,2044
D10,Sample X46,A,1.151,1.145,7884,7949,4131,4091,1997,1993
D11,Sample X47,A,1.116,1.126,7668,7638,3991,3966,1933,1920
D12,Sample X48,A,1.124,1.081,8225,8054,4275,4180,2089,2031
E01,Sample X49,A,1.164,1.116,3895,3840,2024,2000,980,971
E02,Sample X50,A,1.159,1.13,3996,3971,2078,2062,1017,1004
E03,Sample X51,A,1.17,1.185,4290,4250,2228,2208,1087,1069
E04,Sample X52,A,1.148,1.164,4456,4436,2313,2324,1126,1123
E05,Sample X53,A,1.138,1.147,4497,4424,2324,2309,1122,1115
E06,Sample X54,A,1.142,1.137,4629,4604,2388,2397,1168,1155
E07,Sample X55,A,1.161,1.157,4071,4074,2121,2119,1034,1026
E08,Sample X56,A,1.132,1.146,8446,8370,4395,4333,2138,2113
E09,Sample X57,A,1.112,1.124,9493,9412,4945,4880,2422,2369
E10,Sample X58,A,1.073,1.091,8342,8312,4350,4316,2114,2098
E11,Sample X59,A,1.07,1.103,8058,7952,4195,4141,2039,2025
E12,Sample X60,A,1.087,1.043,10210,10046,5323,5198,2583,2510
F01,Sample X61,A,1.154,1.114,3950,3917,2063,2026,995,990
F02,Sample X62,A,1.179,1.126,5768,5648,2996,2932,1456,1427
F03,Sample X63,A,1.171,1.139,8291,8069,4298,4219,2102,2054
F04,Sample X64,A,1.165,1.128,10513,10317,5445,5365,2659,2606
F05,Sample X65,A,1.161,1.125,11930,11773,6223,6110,3039,2966
F06,Sample X66,A,1.162,1.103,12903,12729,6729,6604,3284,3218
F07,Sample X67,A,1.152,1.115,4133,4089,2137,2135,1041,1035
F08,Sample X68,A,1.132,1.093,10330,10119,5360,5278,2630,2558
F09,Sample X69,A,1.093,1.048,10561,10341,5484,5364,2667,2608
F10,Sample X70,A,1.078,1.032,10896,10696,5671,5566,2773,2693
F11,Sample X71,A,1.083,1.07,11656,11460,6051,5970,2952,2889
F12,Sample X72,A,1.047,0.992,14560,14119,7587,7367,3707,3568
H03,Blank B,A,0.049,0.048,2115,2058,1095,1087,537,526
H04,Blank B,A,0.048,0.051,2126,2078,1102,1083,540,525
H05,Negative control N,A,1.183,1.138,3631,3622,1888,1881,915,912
H06,Negative control N,A,1.194,1.129,3622,3595,1885,1883,919,903
H07,Blank B,B,0.05,0.05,2141,2122,1115,1094,545,536
H08,Blank B,B,0.049,0.048,2146,2128,1116,1109,542,538
H09,Negative control N,B,1.279,1.186,4371,4330,2266,2249,1096,1098
H10,Negative control N,B,1.316,1.259,4428,4411,2303,2281,1112,1110
H11,Positive control P,B,1.322,1.303,46902,45097,24370,23534,11854,11506
H12,Positive control P,B,1.287,1.281,45511,43793,23817,22820,11572,11156
